[00:00.13]  Sentate
[08:01.96]  era
[08:02.32]  imposible
[08:02.97]  dejar
[08:03.32]  de
[08:03.48]  comer.
[08:04.33]  Mi
[08:04.36]  tía
[08:04.72]  lo
[08:04.84]  hacía
[08:05.33]  en
[08:05.48]  una
[08:05.72]  asadera
[08:06.28]  y
[08:06.36]  lo
[08:06.52]  cortaba
[08:07.16]  en
[08:07.24]  barritas
[08:07.88]  que
[08:08.12]  envolvía
[08:08.85]  en
[08:09.01]  papel
[08:09.42]  como
[08:09.81]  si
[08:10.04]  fueran
[08:10.82]  de
[08:11.08]  confitería
[08:12.51]  fina
[08:13.03]  y
[08:13.16]  para
[08:13.68]  nosotros
[08:14.73]  lo
[08:14.99]  eran.
[08:15.96]  Hoy
[08:16.16]  se
[08:16.30]  compra
[08:16.69]  hecho
[08:17.09]  en
[08:17.16]  cualquier
[08:17.98]  lado
[08:18.04]  y
[08:18.10]  está
[08:18.44]  bien,
[08:18.92]  pero
[08:19.16]  el
[08:19.24]  casero
[08:19.64]  tenía
[08:20.04]  el
[08:20.24]  maní
[08:20.52]  tostado
[08:21.08]  en
[08:21.22]  el
[08:21.42]  momento,
[08:22.00]  todavía
[08:22.58]  tibio,
[08:23.10]  con
[08:23.37]  ese
[08:23.49]  perfume
[08:24.04]  que
[08:24.20]  llenaba
[08:24.72]  la
[08:24.82]  casa,
[08:25.36]  se
[08:25.40]  perdió
[08:25.89]  porque
[08:26.32]  comprarlo
[08:27.12]  es
[08:27.35]  más
[08:27.81]  fácil
[08:28.50]  que
[08:29.07]  tostar
[08:29.53]  y
[08:29.64]  moler
[08:30.21]  el
[08:30.44]  maní.
[08:31.53]  Cada
[08:31.74]  vez
[08:31.94]  que
[08:32.17]  elegimos
[08:32.78]  lo
[08:32.93]  fácil,
[08:33.54]  ganamos
[08:34.09]  un
[08:34.22]  rato
[08:34.52]  y
[08:34.60]  perdemos
[08:35.24]  un
[08:35.35]  sabor
[08:35.73]  y
[08:35.80]  al
[08:35.96]  final
[08:36.33]  de
[08:36.60]  tanto
[08:36.94]  ganar
[08:37.65]  ratos
[08:38.36]  nos
[08:38.96]  quedamos
[08:39.93]  sin
[08:40.36]  sabores.
[08:41.84]  El
[08:42.06]  octavo
[08:42.74]  enseñaba
[08:43.86]  a
[08:43.87]  no
[08:44.13]  tirar
[08:44.66]  nada,
[08:45.32]  las
[08:45.68]  cascaritas
[08:46.79]  de
[08:47.01]  naranja
[08:47.80]  brillantadas.
[08:49.24]  Las
[08:49.45]  cáscaras
[08:50.08]  de
[08:50.22]  la
[08:50.37]  naranja
[08:50.85]  que
[08:51.20]  íbamos
[08:51.55]  a
[08:51.62]  tirar
[08:51.97]  cortadas
[08:52.53]  en
[08:52.67]  tiritas,
[08:53.31]  hervidas
[08:53.86]  varias
[08:54.40]  veces
[08:54.75]  para
[08:55.03]  sacarlas
[08:55.59]  el
[08:55.73]  amargo
[08:56.22]  y
[08:56.42]  después
[08:56.78]  cocinadas
[08:57.41]  en
[08:57.60]  almíbar
[08:58.11]  hasta
[08:58.47]  que
[08:58.68]  quedaban
[08:59.33]  translúcidas
[09:00.30]  y
[09:00.33]  brillantes
[09:01.33]  y
[09:01.40]  por
[09:01.70]  último
[09:02.50]  pasadas
[09:03.16]  por
[09:03.40]  azúcar.
[09:04.42]  Se
[09:04.57]  guardaban
[09:05.26]  en
[09:05.40]  un
[09:05.55]  frasco
[09:06.00]  y
[09:06.07]  se
[09:06.37]  chupaban
[09:06.82]  de
[09:06.97]  aúna
[09:07.38]  dulces
[09:07.81]  y
[09:07.85]  con
[09:08.07]  ese
[09:08.29]  fondito
[09:08.81]  amargo
[09:09.35]  de
[09:09.52]  la
[09:10.16]  naranja.
[09:11.16]  De
[09:11.42]  la
[09:11.68]  basura
[09:12.47]  salía
[09:13.26]  una
[09:13.66]  golosina.
[09:15.16]  Se
[09:15.31]  perdió
[09:15.84]  porque
[09:16.30]  hoy
[09:16.53]  tiramos
[09:17.18]  las
[09:17.30]  cáscaras
[09:17.98]  sin
[09:18.21]  pensarlo,
[09:19.00]  tenemos
[09:19.51]  de
[09:19.66]  todo
[09:19.97]  y
[09:20.09]  de
[09:20.19]  sobra,
[09:20.84]  pero
[09:21.19]  mi
[09:21.36]  abuela
[09:21.87]  no
[09:22.04]  tiraba
[09:22.86]  nada
[09:22.91]  y
[09:22.99]  no
[09:23.16]  era
[09:23.42]  por
[09:23.68]  pobre
[09:24.11]  o
[09:24.23]  no
[09:24.36]  solo
[09:24.71]  por
[09:24.97]  eso,
[09:25.40]  era
[09:25.66]  por
[09:25.92]  respeto,
[09:26.93]  por
[09:26.98]  saber
[09:27.32]  que
[09:27.46]  cada
[09:27.70]  cosa
[09:27.94]  servía
[09:28.36]  para
[09:28.82]  algo,
[09:28.96]  que
[09:29.14]  todo
[09:29.38]  se
[09:29.50]  podía
[09:29.86]  transformar
[09:30.52]  en
[09:30.64]  dulzuras
[09:31.16]  y
[09:31.30]  le
[09:31.58]  ponías
[09:32.56]  tiempo.
[09:33.84]  Perdimos
[09:34.36]  las
[09:34.56]  cascaritas,
[09:35.34]  sí,
[09:35.86]  pero
[09:35.94]  también
[09:36.53]  perdimos
[09:37.04]  esa
[09:37.23]  manera
[09:37.58]  de
[09:37.72]  mirar
[09:38.12]  el
[09:38.18]  mundo
[09:38.51]  sin
[09:38.80]  desperdicio
[09:40.82]  con
[09:41.26]  gratitud.
[09:43.24]  El
[09:43.44]  noveno
[09:44.08]  aparecía
[09:44.94]  en
[09:45.26]  los
[09:45.54]  casamientos
[09:46.55]  y
[09:46.65]  en
[09:46.88]  las
[09:47.15]  fiestas
[09:47.85]  grandes,
[09:48.85]  la
[09:48.95]  colación.
[09:50.24]  Esas
[09:50.58]  bolitas
[09:51.03]  blancas
[09:51.54]  con
[09:51.76]  la
[09:51.89]  cascarita
[09:52.56]  dura
[09:52.85]  de
[09:52.99]  azúcar
[09:53.50]  por
[09:53.72]  fuera
[09:54.09]  y
[09:54.16]  el
[09:54.31]  relleno
[09:54.80]  de
[09:54.93]  dulce
[09:55.57]  de
[09:55.59]  leche
[09:55.96]  por
[09:56.18]  dentro
[09:56.63]  que
[09:56.85]  se
[09:57.00]  armaban
[09:57.52]  una
[09:57.74]  por
[09:57.96]  una
[09:58.18]  y
[09:58.26]  se
[09:58.40]  bañaban
[09:59.00]  en
[09:59.15]  un
[09:59.30]  glase
[09:59.72]  blanco
[10:00.12]  que
[10:00.44]  había
[10:00.68]  que
[10:01.02]  dejar
[10:01.56]  secar.
[10:02.46]  Llevaban
[10:03.07]  un
[10:03.22]  trabajo
[10:03.76]  de
[10:03.91]  paciencia
[10:04.60]  enorme
[10:05.06]  y
[10:05.15]  por
[10:05.42]  eso
[10:05.59]  aparecían
[10:06.35]  solo
[10:06.74]  en
[10:06.81]  las
[10:07.04]  ocasiones
[10:07.84]  importantes,
[10:09.28]  apiladas
[10:10.28]  en
[10:10.53]  una
[10:10.90]  bandeja
[10:11.77]  brillando
[10:12.92]  como
[10:13.39]  perlitas.
[10:14.80]  Hoy
[10:15.03]  la
[10:15.18]  colación
[10:15.93]  todavía
[10:16.64]  se
[10:16.82]  consigue,
[10:17.41]  pero
[10:17.76]  hecha
[10:18.10]  en
[10:18.25]  fábrica,
[10:19.08]  toda
[10:19.32]  igual,
[10:19.86]  toda
[10:20.17]  perfecta,
[10:21.17]  la
[10:21.18]  de
[10:21.38]  antes
[10:21.67]  tenía
[10:22.09]  cada
[10:22.37]  bolita
[10:23.06]  distinta
[10:23.35]  hecha
[10:23.73]  a
[10:23.77]  mano,
[10:24.24]  con
[10:24.43]  sus
[10:24.61]  imperfecciones.
[10:25.88]  Se
[10:26.04]  perdió
[10:26.60]  la
[10:26.76]  cebla
[10:27.16]  en
[10:27.32]  casa
[10:27.90]  porque
[10:28.17]  lleva
[10:28.57]  horas
[10:28.96]  y
[10:29.08]  mucha
[10:29.45]  delicadeza.
[10:30.60]  Pero
[10:30.94]  esa
[10:31.12]  delicadeza,
[10:31.93]  ese
[10:32.14]  trabajar
[10:32.70]  tanto
[10:33.05]  por
[10:33.29]  algo
[10:33.56]  tan
[10:33.80]  chiquito
[10:34.31]  solo
[10:34.59]  para
[10:34.88]  agasajar
[10:35.42]  a
[10:35.53]  los
[10:35.80]  que
[10:36.02]  uno
[10:36.32]  quería,
[10:36.93]  era
[10:37.11]  una
[10:37.33]  forma
[10:37.82]  callada
[10:38.21]  de
[10:38.35]  amor.
[10:38.92]  Y
[10:39.05]  el
[10:39.26]  amor
[10:39.60]  callado,
[10:40.47]  el
[10:40.94]  que
[10:40.95]  se
[10:41.21]  demuestra
[10:42.01]  con
[10:42.31]  las
[10:42.59]  manos,
[10:43.27]  es
[10:43.48]  el
[10:43.65]  que
[10:43.94]  más
[10:44.33]  se
[10:44.53]  está
[10:45.01]  perdiendo.
[10:46.08]  El
[10:46.25]  décimo
[10:46.86]  era
[10:47.12]  pura
[10:47.46]  magia
[10:48.10]  frente
[10:48.42]  a
[10:48.50]  los
[10:48.77]  ojos
[10:49.11]  de
[10:49.28]  un
[10:49.47]  chico.
[10:50.37]  Los
[10:50.58]  arfeñiques,
[10:52.26]  los
[10:52.34]  caramelos
[10:53.34]  de
[10:53.56]  azúcar
[10:54.34]  estirados.
[10:55.76]  Azúcar
[10:56.28]  hecho
[10:56.55]  caramelo
[10:57.08]  y
[10:57.14]  cuando
[10:57.78]  todavía
[10:58.07]  estaba
[10:58.47]  tibio,
[10:58.96]  se
[10:59.05]  estiraba
[10:59.60]  y
[10:59.64]  se
[10:59.78]  estiraba
[11:00.32]  con
[11:00.50]  las
[11:00.70]  manos
[11:01.12]  apenas
[11:01.64]  aceitadas,
[11:02.44]  una
[11:02.68]  y
[11:02.76]  otra
[11:03.14]  vez,
[11:03.47]  hasta
[11:03.86]  que
[11:04.10]  de
[11:04.26]  dorado
[11:04.76]  se
[11:04.96]  ponía
[11:05.40]  blanco
[11:05.83]  y
[11:05.91]  brillante
[11:06.73]  y
[11:06.78]  quedaba
[11:07.24]  esa
[11:07.58]  golosina
[11:08.46]  dura
[11:08.90]  y
[11:09.26]  dulce.
[11:09.96]  Mirar
[11:10.34]  como
[11:10.64]  el
[11:10.80]  caramelo
[11:11.40]  cambiaba
[11:12.01]  de
[11:12.25]  color
[11:12.54]  a
[11:12.65]  fuerza
[11:13.07]  de
[11:13.22]  estirarlo
[11:13.90]  era
[11:14.24]  un
[11:14.28]  espectáculo.
[11:15.65]  Nos
[11:15.86]  quedábamos
[11:16.87]  alrededor
[11:17.81]  con
[11:18.03]  los
[11:18.34]  ojos
[11:18.72]  grandes
[11:19.39]  esperando
[11:20.26]  el
[11:20.45]  pedacito.
[11:21.56]  Ya
[11:21.69]  casi
[11:21.96]  nadie
[11:22.30]  hace
[11:22.57]  arfeñiques
[11:23.36]  y
[11:23.49]  es
[11:23.58]  una
[11:23.69]  lástima.
[11:24.52]  Se
[11:24.66]  perdieron
[11:25.29]  porque
[11:25.72]  son
[11:25.93]  puro
[11:26.54]  trabajo
[11:26.71]  y
[11:26.81]  un
[11:26.92]  poco
[11:27.21]  de
[11:27.34]  arriesgo
[11:27.91]  con
[11:28.11]  el
[11:28.25]  azúcar
[11:28.80]  caliente
[11:29.40]  y
[11:29.40]  hoy
[11:29.65]  le
[11:29.81]  tenemos
[11:30.39]  miedo
[11:30.80]  a
[11:30.88]  esas
[11:31.42]  cosas.
[11:31.92]  Pero
[11:32.18]  ese
[11:32.44]  caramelo
[11:32.91]  estirado
[11:33.44]  a
[11:33.50]  mano
[11:33.94]  era
[11:33.96]  química,
[11:34.62]  era
[11:34.88]  juego,
[11:35.31]  era
[11:35.48]  arte,
[11:35.87]  todo
[11:36.20]  junto
[11:36.48]  en
[11:36.59]  la
[11:36.72]  cocina
[11:37.24]  de
[11:37.61]  casa.
[11:38.92]  Los
[11:39.18]  chicos
[11:39.70]  de
[11:39.90]  hoy
[11:40.13]  ven
[11:40.39]  el
[11:40.56]  dulce
[11:40.99]  ya
[11:41.21]  hecho
[11:41.61]  en
[11:41.76]  una
[11:42.02]  bolsa.
[11:42.89]  No
[11:42.98]  ven
[11:43.31]  nacer
[11:43.89]  la
[11:44.08]  magia
[11:44.74]  y
[11:44.78]  ver
[11:45.07]  nacer
[11:45.62]  la
[11:45.84]  magia
[11:46.40]  era
[11:46.72]  la
[11:47.04]  mitad
[11:47.50]  de
[11:47.72]  la
[11:47.94]  felicidad.
[11:49.40]  El
[11:49.65]  número
[11:50.54]  once
[11:51.04]  lo
[11:51.42]  comíamos
[11:52.44]  con
[11:52.82]  un
[11:53.07]  pedazo
[11:53.83]  de
[11:54.08]  queso,
[11:55.01]  el
[11:55.22]  dulce
[11:55.84]  de
[11:56.09]  membrillo
[11:57.24]  casero.
[11:58.52]  Membrillos
[11:59.22]  hervidos,
[11:59.92]  pasados
[12:00.54]  por
[12:00.62]  el
[12:00.81]  cedazo
[12:01.21]  y
[12:01.25]  cocinados
[12:01.91]  con
[12:02.09]  azúcar
[12:02.59]  horas
[12:02.93]  y
[12:03.00]  horas,
[12:03.49]  revolviendo
[12:04.32]  con
[12:04.55]  una
[12:04.84]  cuchara
[12:05.31]  grande
[12:05.77]  de
[12:05.92]  madera
[12:06.38]  hasta
[12:06.77]  que
[12:07.01]  la
[12:07.15]  pasta
[12:07.54]  se
[12:07.71]  ponía
[12:08.16]  roja,
[12:08.60]  espesa
[12:09.05]  y
[12:09.12]  se
[12:09.27]  despegaba
[12:10.12]  de
[12:10.64]  la
[12:11.10]  olla.
[12:12.83]  Se
[12:12.84]  volcaba
[12:13.33]  en
[12:13.47]  cajones
[12:13.96]  de
[12:14.10]  madera
[12:14.72]  para
[12:14.80]  que
[12:15.01]  tomara
[12:15.43]  forma
[12:15.79]  y
[12:15.90]  cuando
[12:16.29]  se
[12:16.43]  enfría
[12:16.98]  se
[12:17.06]  cortaba
[12:17.68]  en
[12:17.95]  tajadas.
[12:18.92]  Con
[12:19.12]  una
[12:19.32]  feta
[12:19.58]  de
[12:19.71]  queso
[12:20.05]  al
[12:20.17]  lado,
[12:20.56]  eso
[12:20.94]  que
[12:20.96]  llamábamos
[12:21.68]  el
[12:21.88]  vigilante,
[12:22.56]  era
[12:22.76]  la
[12:22.86]  gloria
[12:23.25]  de
[12:23.38]  la
[12:23.51]  merienda.
[12:26.76]  Hoy
[12:26.99]  el
[12:27.14]  membrillo
[12:27.89]  se
[12:27.98]  compra
[12:28.59]  en
[12:28.78]  pan,
[12:29.05]  en
[12:29.12]  cualquier
[12:29.81]  almacén,
[12:30.60]  de
[12:30.72]  un
[12:30.87]  rojo
[12:31.17]  raro
[12:31.47]  y
[12:31.54]  parejo.
[12:32.36]  El
[12:32.49]  de
[12:32.58]  mi
[12:32.69]  abuela
[12:33.03]  tenía
[12:33.38]  gusto
[12:33.67]  a
[12:33.72]  otoño,
[12:34.16]  a
[12:34.32]  la
[12:34.38]  fruta
[12:34.65]  de
[12:34.71]  estación,
[12:35.34]  a
[12:35.39]  una
[12:35.56]  tarde
[12:35.85]  entera
[12:36.20]  de
[12:36.52]  olla.
[12:37.52]  Se
[12:37.65]  perdió
[12:38.04]  porque
[12:38.36]  nadie
[12:38.65]  tiene
[12:38.94]  ya
[12:39.05]  un
[12:39.16]  membrillo
[12:39.68]  en
[12:39.81]  el
[12:39.90]  fondo
[12:40.21]  ni
[12:40.34]  una
[12:40.48]  tarde
[12:40.76]  para
[12:40.99]  regalarle
[12:41.50]  a
[12:41.77]  una
[12:41.98]  fruta.
[12:42.76]  Y
[12:42.89]  con
[12:43.10]  el
[12:43.28]  membrillo
[12:43.89]  casero
[12:44.35]  se
[12:44.73]  fue
[12:44.78]  también
[12:45.34]  esa
[12:45.58]  costumbre
[12:46.25]  linda
[12:46.62]  de
[12:46.83]  guardar
[12:47.32]  la
[12:47.45]  temporada
[12:48.24]  en
[12:48.50]  un
[12:48.76]  cajón
[12:49.54]  para
[12:50.26]  tener
[12:50.73]  dulzura
[12:51.65]  todo
[12:52.18]  el
[12:52.52]  año.
[12:53.44]  Y
[12:53.57]  acordate
[12:53.99]  de
[12:54.11]  lo
[12:54.23]  que
[12:54.42]  te
[12:54.57]  dije,
[12:54.90]  que
[12:55.08]  no
[12:55.46]  quiero
[12:55.57]  que
[12:55.75]  se
[12:55.87]  te
[12:55.99]  olvide,
[12:56.47]  si
[12:56.64]  quieres
[12:57.03]  hacer
[12:57.34]  cualquiera
[12:58.12]  de
[12:58.25]  estos
[12:58.64]  dulces,
[12:59.12]  la
[12:59.25]  receta
[12:59.65]  la
[12:59.77]  tenés
[13:00.18]  ahí
[13:00.45]  abajo,
[13:00.94]  en
[13:01.08]  la
[13:01.18]  descripción,
[13:02.11]  en
[13:02.24]  la
[13:02.40]  guía
[13:02.70]  que
[13:03.04]  te
[13:03.24]  dejé.
[13:04.04]  La
[13:04.21]  preparé
[13:04.90]  justamente
[13:06.06]  para
[13:06.13]  que
[13:06.39]  estas
[13:06.86]  cosas
[13:07.27]  no
[13:07.44]  se
[13:07.61]  pierdan
[13:08.32]  del
[13:08.48]  todo.
[13:09.29]  El
[13:09.37]  doce
[13:09.79]  es
[13:10.00]  de
[13:10.21]  los
[13:10.53]  abuelos
[13:11.27]  de
[13:11.48]  mis
[13:11.85]  abuelos,
[13:12.75]  el
[13:13.00]  arrope,
[13:13.80]  un
[13:14.09]  jarabe
[13:14.64]  oscuro
[13:15.28]  y
[13:15.38]  espeso,
[13:16.22]  hecho
[13:17.00]  hirviendo
[13:17.63]  mucho
[13:17.98]  tiempo
[13:18.41]  el
[13:18.55]  jugo
[13:18.97]  de
[13:19.02]  la
[13:19.11]  uva
[13:19.32]  o
[13:19.39]  de
[13:19.53]  la
[13:19.69]  tuna
[13:19.96]  o
[13:20.02]  del
[13:20.23]  chañar,
[13:20.86]  hasta
[13:21.28]  que
[13:21.42]  se
[13:21.68]  abducía
[13:22.28]  y
[13:22.41]  se
[13:22.48]  ponía
[13:22.88]  como
[13:23.15]  una
[13:23.41]  miel
[13:23.62]  negra
[13:23.93]  dulcísima,
[13:24.74]  se
[13:24.87]  untaba
[13:25.27]  en
[13:25.40]  el
[13:25.53]  pan,
[13:25.86]  se
[13:25.99]  ponía
[13:26.39]  en
[13:26.56]  la
[13:26.65]  leche
[13:27.22]  o
[13:27.35]  se
[13:27.47]  comía
[13:27.97]  a
[13:28.06]  cucharadas
[13:29.24]  cuando
[13:29.41]  uno
[13:29.66]  andaba
[13:30.18]  bajoneado.
[13:31.28]  Era
[13:31.50]  el
[13:31.65]  dulce
[13:32.01]  de
[13:32.16]  las
[13:32.41]  provincias,
[13:33.30]  el
[13:33.40]  del
[13:33.62]  norte,
[13:34.13]  el
[13:34.28]  que
[13:34.50]  resistió
[13:35.16]  cientos
[13:35.67]  de
[13:35.84]  años
[13:36.21]  en
[13:36.34]  las
[13:36.68]  casas
[13:37.17]  de
[13:37.22]  campo,
[13:37.88]  se
[13:38.05]  perdió
[13:38.68]  casi
[13:39.06]  por
[13:39.34]  completo
[13:40.09]  y
[13:40.18]  con
[13:40.46]  él
[13:40.74]  se
[13:40.92]  fue
[13:41.32]  una
[13:41.48]  parte
[13:41.97]  de
[13:42.13]  nuestra
[13:42.86]  historia
[13:43.70]  más
[13:44.04]  honda.
[13:45.04]  El
[13:45.18]  arrope
[13:45.60]  no
[13:45.74]  lo
[13:45.88]  conocen
[13:46.38]  los
[13:46.59]  chicos
[13:47.06]  de
[13:47.16]  hoy,
[13:47.51]  ni
[13:47.65]  saben
[13:48.01]  lo
[13:48.15]  que
[13:48.36]  es.
[13:48.84]  Era
[13:49.03]  el
[13:49.18]  dulce
[13:49.48]  de
[13:49.61]  la
[13:49.74]  tierra
[13:50.13]  seca,
[13:50.71]  del
[13:50.86]  ingenio
[13:51.16]  criollo,
[13:51.80]  de
[13:51.87]  la
[13:52.04]  gente
[13:52.32]  que
[13:52.51]  con
[13:52.70]  una
[13:52.91]  fruta
[13:53.21]  y
[13:53.27]  fuego
[13:53.68]  hacía
[13:54.61]  miel.
[13:55.72]  Perder
[13:56.14]  el
[13:56.28]  arrope
[13:56.70]  es
[13:56.85]  perder
[13:57.26]  la
[13:57.61]  memoria
[13:57.89]  más
[13:58.17]  vieja
[13:58.54]  del
[13:58.73]  dulce,
[13:59.22]  la
[13:59.36]  que
[13:59.57]  venía
[14:00.00]  de
[14:00.13]  nuestros
[14:00.72]  abuelos
[14:01.91]  más
[14:02.74]  antiguos.
[14:04.61]  El
[14:04.75]  13
[14:05.61]  se
[14:05.84]  estiraba
[14:06.93]  como
[14:07.47]  un
[14:07.74]  chicle
[14:08.56]  interminable,
[14:10.45]  la
[14:10.72]  melcocha.
[14:11.88]  Un
[14:12.01]  caramelo
[14:12.48]  hecho
[14:12.78]  con
[14:13.01]  miel
[14:13.20]  o
[14:13.26]  con
[14:13.44]  azúcar,
[14:13.98]  que
[14:14.17]  se
[14:14.28]  trabajaba
[14:14.84]  a
[14:14.88]  mano
[14:15.12]  estirándolo
[14:15.84]  entre
[14:16.16]  los
[14:16.42]  dedos
[14:16.85]  una
[14:17.14]  y
[14:17.20]  otra
[14:17.55]  vez
[14:17.80]  hasta
[14:18.25]  que
[14:18.51]  se
[14:18.68]  ponía
[14:19.20]  clarito
[14:19.81]  y
[14:19.90]  masticable,
[14:20.95]  medio
[14:21.39]  pegajoso.
[14:22.52]  Era
[14:22.74]  el
[14:22.88]  dulce
[14:23.24]  de
[14:23.38]  las
[14:23.65]  ferias
[14:24.04]  y
[14:24.11]  de
[14:24.47]  los
[14:24.54]  pueblos,
[14:25.11]  el
[14:25.25]  que
[14:25.48]  un
[14:25.61]  señor
[14:26.05]  hacía
[14:26.48]  a
[14:26.51]  la
[14:26.80]  vista
[14:27.08]  de
[14:27.20]  todos,
[14:27.84]  colgando
[14:28.36]  la
[14:28.48]  masa
[14:28.74]  de
[14:28.87]  un
[14:29.00]  gancho
[14:29.38]  y
[14:29.44]  estirándola
[14:30.21]  con
[14:30.40]  fuerza.
[14:31.21]  Los
[14:31.42]  chicos
[14:31.99]  lo
[14:32.21]  mirábamos
[14:33.19]  hipnotizados
[14:34.39]  y
[14:34.49]  le
[14:34.72]  rogábamos
[14:35.69]  a
[14:35.79]  mamá
[14:36.29]  por
[14:36.69]  un
[14:36.79]  pedazo.
[14:37.84]  Se
[14:37.99]  perdió
[14:38.51]  porque
[14:38.97]  era
[14:39.18]  un
[14:39.32]  oficio,
[14:39.93]  casi
[14:40.23]  un
[14:40.38]  arte
[14:40.68]  de
[14:40.83]  circo,
[14:41.35]  y
[14:41.42]  esos
[14:41.72]  oficios
[14:42.24]  de
[14:42.40]  la
[14:42.53]  calle
[14:42.96]  se
[14:43.08]  fueron
[14:43.46]  apagando.
[14:44.58]  La
[14:44.72]  melcocha
[14:45.30]  necesitaba
[14:46.03]  manos
[14:46.54]  fuertes
[14:46.90]  y
[14:46.97]  paciencia,
[14:47.78]  y
[14:47.84]  un
[14:47.98]  público
[14:48.56]  de
[14:48.86]  chicos
[14:49.15]  con
[14:49.37]  los
[14:49.59]  ojos
[14:49.88]  abiertos.
[14:50.80]  Hoy
[14:51.14]  el
[14:51.32]  dulce
[14:51.78]  viene
[14:52.26]  envasado,
[14:53.22]  sin
[14:53.51]  historia,
[14:54.49]  sin
[14:54.78]  nadie
[14:55.27]  que
[14:55.56]  lo
[14:55.76]  haga
[14:56.15]  delante
[14:56.83]  tuyo.
[14:57.81]  Se
[14:57.82]  perdió
[14:58.31]  el
[14:58.45]  dulce,
[14:58.94]  pero
[14:59.23]  también
[14:59.81]  se
[14:59.97]  perdió
[15:00.44]  el
[15:00.64]  espectáculo,
[15:01.58]  el
[15:01.75]  artesano,
[15:02.42]  el
[15:02.61]  asombro
[15:03.29]  de
[15:03.40]  ver
[15:03.79]  hacer
[15:04.44]  algo
[15:04.96]  rico
[15:05.48]  con
[15:05.87]  las
[15:06.26]  manos.
[15:07.32]  El
[15:07.48]  catorce
[15:08.05]  se
[15:08.21]  derretía
[15:08.93]  en
[15:09.25]  la
[15:09.34]  boca
[15:09.61]  despacito.
[15:10.64]  Los
[15:10.89]  caramelos
[15:11.64]  de
[15:11.80]  leche
[15:12.22]  caseros.
[15:12.92]  Leche,
[15:13.69]  azúcar
[15:14.47]  y
[15:14.57]  manteca,
[15:15.61]  cocinados
[15:16.58]  hasta
[15:17.20]  hacer
[15:17.70]  un
[15:17.92]  caramelo
[15:18.81]  blando
[15:19.57]  y
[15:19.59]  rubio
[15:20.15]  que
[15:20.49]  se
[15:20.75]  cortaba
[15:21.66]  en
[15:21.85]  cuadraditos
[15:22.88]  y
[15:22.97]  se
[15:23.16]  envolvía
[15:24.00]  uno
[15:24.35]  por
[15:24.62]  uno
[15:24.86]  en
[15:25.05]  papelitos
[15:25.94]  encerados.
[15:27.21]  Estaban
[15:27.60]  los
[15:27.72]  caramelos
[15:28.31]  que
[15:28.50]  mi
[15:28.63]  abuela
[15:29.10]  tenía
[15:29.41]  siempre
[15:29.90]  en
[15:30.04]  el
[15:30.13]  bolsillo
[15:30.64]  del
[15:30.82]  delantal
[15:31.36]  y
[15:31.40]  que
[15:31.70]  sacaba
[15:32.22]  para
[15:32.54]  calmar
[15:32.98]  un
[15:33.14]  llanto
[15:33.70]  o
[15:33.72]  premiar
[15:34.27]  una
[15:34.52]  buena
[15:34.92]  nota.
[15:35.56]  Tenían
[15:36.23]  gusto
[15:36.71]  a
[15:36.80]  dulce
[15:37.47]  de
[15:37.58]  leche
[15:37.95]  y
[15:38.04]  se
[15:38.25]  te
[15:38.42]  pegaban
[15:39.09]  un
[15:39.28]  poquito
[15:39.96]  a
[15:40.05]  los
[15:40.34]  dientes.
[15:41.40]  Hoy
[15:41.63]  los
[15:41.92]  caramelos
[15:42.56]  vienen
[15:43.03]  en
[15:43.41]  bolsas
[15:43.69]  enormes
[15:44.17]  de
[15:44.36]  mil
[15:44.60]  sabores
[15:45.09]  artificiales,
[15:46.18]  pero
[15:46.49]  esos
[15:46.80]  caramelitos
[15:47.84]  de
[15:47.98]  leche
[15:48.36]  envueltos
[15:48.97]  a
[15:49.04]  mano,
[15:49.46]  guardados
[15:50.13]  en
[15:50.24]  el
[15:50.38]  delantal
[15:50.95]  de
[15:51.09]  la
[15:51.23]  abuela,
[15:51.79]  valían
[15:52.28]  más
[15:52.55]  que
[15:52.77]  cualquier
[15:53.56]  bolosina
[15:54.41]  de
[15:54.69]  kiosco.
[15:55.73]  Se
[15:55.75]  perdieron
[15:56.44]  porque
[15:56.89]  hacerlos
[15:57.57]  y
[15:57.62]  envolverlos
[15:58.42]  de
[15:58.56]  a
[15:58.63]  uno
[15:58.86]  lleva
[15:59.24]  una
[15:59.47]  tarde
[15:59.88]  entera,
[16:00.53]  y
[16:00.53]  esa
[16:00.76]  tarde
[16:01.24]  que
[16:01.46]  alguien
[16:01.97]  gastaba
[16:02.48]  solo
[16:02.77]  para
[16:03.26]  tener
[16:03.43]  un
[16:03.57]  caramelo
[16:04.20]  listo
[16:04.51]  por
[16:04.73]  si
[16:04.88]  un
[16:05.08]  nieto
[16:05.37]  lloraba
[16:05.87]  era
[16:06.17]  amor
[16:06.38]  puro
[16:06.80]  escondido
[16:08.12]  en
[16:08.41]  un
[16:08.82]  papelito.
[16:10.36]  El
[16:10.55]  quince
[16:11.13]  era
[16:11.49]  finísimo,
[16:12.49]  cosa
[16:12.88]  de
[16:13.07]  repostería
[16:14.20]  antigua,
[16:15.01]  la
[16:15.29]  ambrosía,
[16:16.26]  yemas
[16:16.75]  de
[16:17.01]  huevo
[16:17.41]  batidas
[16:18.28]  y
[16:18.41]  cocinadas
[16:19.02]  de
[16:19.17]  a
[16:19.26]  poco
[16:19.54]  en
[16:19.69]  un
