[00:00.27] There
[07:04.37]  have
[07:04.67]  the
[07:04.89]  letter
[07:05.34] .
[07:05.60]  What
[07:06.03]  we
[07:06.24]  know
[07:06.88] ,
[07:06.91]  we
[07:07.09]  know
[07:07.58]  by
[07:07.73]  hand
[07:08.16] .
[07:08.56]  And
[07:08.84]  what
[07:09.22]  she
[07:09.50]  knew
[07:09.90]  kept
[07:10.26]  her
[07:10.54]  family
[07:11.11]  alive
[07:11.52] .
[07:11.92]  Here
[07:12.22]  is
[07:12.37]  what
[07:12.67]  you
[07:12.89]  do
[07:13.04] .
[07:13.28]  You
[07:13.96]  need
[07:13.98]  three
[07:14.56]  things
[07:15.04]  and
[07:15.32]  all
[07:15.71]  of
[07:15.81]  them
[07:16.20]  are
[07:16.49]  in
[07:16.74]  your
[07:17.07]  house
[07:17.55]  already
[07:18.25] .
[07:18.74]  A
[07:18.81]  clean
[07:19.26]  glass
[07:19.84]  jar
[07:20.09] ,
[07:20.39]  a
[07:20.40]  pint
[07:20.82]  m
[07:20.92] ason
[07:21.34]  jar
[07:21.65]  is
[07:21.87]  perfect
[07:22.58] .
[07:22.96]  An
[07:23.17]  old
[07:23.43]  pick
[07:23.82] le
[07:24.01]  jar
[07:24.27]  works
[07:24.78]  just
[07:25.12]  as
[07:25.31]  well
[07:25.69] .
[07:26.00]  Wash
[07:26.40]  it
[07:26.60]  out
[07:26.84] .
[07:27.20]  Take
[07:27.58]  the
[07:27.79]  label
[07:28.43]  off
[07:28.47]  if
[07:28.64]  you
[07:28.89]  can
[07:29.13] .
[07:29.44]  A
[07:29.58]  piece
[07:29.99]  of
[07:30.18]  plain
[07:30.63]  brown
[07:31.08]  paper
[07:31.78]  from
[07:31.89]  a
[07:31.96]  grocery
[07:32.48]  bag
[07:33.21] ,
[07:33.32]  from
[07:33.40]  a
[07:33.44]  wrapping
[07:33.83]  you
[07:34.08]  saved
[07:34.95] ,
[07:34.99]  from
[07:35.27]  anywhere
[07:35.92] ,
[07:35.92]  not
[07:36.20]  printed
[07:36.85]  paper
[07:37.31] .
[07:37.60]  The
[07:37.89]  ink
[07:38.16]  conf
[07:38.59] uses
[07:38.92]  them
[07:39.30] .
[07:39.60]  Plain
[07:40.10]  brown
[07:40.55]  and
[07:40.99]  one
[07:41.12]  tablespoon
[07:42.08]  of
[07:42.27]  mol
[07:42.55] asses
[07:43.02] .
[07:43.36]  Mol
[07:43.67] asses
[07:44.18] ,
[07:44.52]  not
[07:44.68]  honey
[07:45.36] ,
[07:45.47]  not
[07:45.66]  maple
[07:46.16]  syrup
[07:46.66] ,
[07:46.98]  not
[07:47.15]  white
[07:47.44]  sugar
[07:48.07]  dissolved
[07:48.48]  in
[07:48.67]  water
[07:49.14] .
[07:49.44]  Mol
[07:49.67] asses
[07:50.05] ,
[07:50.20]  if
[07:50.58]  you
[07:50.68]  do
[07:50.73]  not
[07:50.96]  have
[07:51.27]  any
[07:51.49]  in
[07:51.64]  the
[07:51.92]  cup
[07:52.16] board
[07:52.63] ,
[07:52.70]  it
[07:52.72]  is
[07:52.88]  in
[07:52.96]  the
[07:53.12]  baking
[07:53.52]  aisle
[07:53.92]  of
[07:54.08]  any
[07:54.24]  grocery
[07:54.79]  store
[07:55.28]  for
[07:55.49]  about
[07:55.81]  four
[07:56.07]  dollars
[07:56.53]  a
[07:56.59]  bottle
[07:56.98]  and
[07:57.36]  the
[07:57.38]  bottle
[07:57.77]  will
[07:58.08]  last
[07:58.48]  you
[07:58.77]  all
[07:58.96]  summer
[07:59.58]  and
[07:59.64]  into
[07:59.92]  next
[08:00.33]  year
[08:01.04] .
[08:01.04]  Why
[08:01.36]  mol
[08:01.70] asses
[08:02.21] ?
[08:02.56]  Because
[08:03.18]  of
[08:03.35]  what
[08:03.70]  most
[08:04.05]  folks
[08:04.49]  do
[08:04.66]  not
[08:04.92]  know
[08:05.27]  about
[08:05.71]  how
[08:06.00]  a
[08:06.06]  fly
[08:06.32]  finds
[08:06.76]  her
[08:07.03]  food
[08:07.37] .
[08:07.76]  A
[08:07.94]  fly
[08:08.12]  is
[08:08.30]  not
[08:08.57]  drawn
[08:09.02]  to
[08:09.20]  sweetness
[08:10.02]  the
[08:10.29]  way
[08:10.56]  an
[08:10.74]  aunt
[08:11.10]  is
[08:11.28] .
[08:11.60]  A
[08:11.72]  fly
[08:12.32]  is
[08:12.33]  drawn
[08:12.96]  to
[08:13.18]  fermentation
[08:14.63] .
[08:15.20]  She
[08:15.26]  is
[08:15.40]  hunting
[08:15.91]  for
[08:16.13]  something
[08:16.79]  that
[08:17.08]  is
[08:17.22]  already
[08:17.73]  breaking
[08:18.30]  down
[08:18.82]  because
[08:19.12]  that
[08:19.71]  is
[08:19.72]  where
[08:20.00]  she
[08:20.24]  lays
[08:20.56]  her
[08:20.87]  eggs
[08:21.28] .
[08:21.60]  Mol
[08:21.87] asses
[08:22.31]  is
[08:22.59]  the
[08:22.76]  by
[08:22.94] product
[08:23.59]  of
[08:23.77]  sugar
[08:24.19]  refining
[08:24.90] .
[08:25.20]  It
[08:25.37]  is
[08:25.54]  what
[08:25.88]  is
[08:26.05]  left
[08:26.52]  after
[08:26.81]  the
[08:27.06]  white
[08:27.48]  sugar
[08:27.90]  is
[08:28.07]  taken
[08:28.48]  out
[08:28.71] .
[08:29.04]  It
[08:29.22]  is
[08:29.40]  full
[08:29.76]  of
[08:29.94]  natural
[08:30.57]  ye
[08:30.75] asts
[08:31.24]  and
[08:31.43]  complex
[08:32.01]  sugars
[08:32.67]  that
[08:33.26] ,
[08:33.29]  the
[08:33.48]  moment
[08:33.92]  you
[08:34.14]  add
[08:34.36]  warm
[08:34.65]  water
[08:35.02] ,
[08:35.38]  begin
[08:35.60]  to
[08:35.80]  ferment
[08:36.61]  slowly
[08:37.12] .
[08:37.44]  That
[08:37.78]  fermentation
[08:38.92]  gives
[08:39.24]  off
[08:39.49]  carbon
[08:40.00]  dioxide
[08:40.58] .
[08:41.02]  Carbon
[08:41.34]  dioxide
[08:41.87]  is
[08:42.02]  what
[08:42.32]  every
[08:42.75]  living
[08:43.16]  animal
[08:43.62]  breat
[08:44.00] hes
[08:44.22]  out
[08:44.50] .
[08:44.72]  A
[08:44.86]  fly
[08:45.02]  cannot
[08:45.55]  tell
[08:45.80]  the
[08:46.03]  difference
[08:46.81]  between
[08:47.35]  the
[08:47.58]  carbon
[08:48.05]  dioxide
[08:48.64]  coming
[08:49.05]  off
[08:49.27]  your
[08:49.52]  dog
[08:49.72]  asleep
[08:50.16]  on
[08:50.33]  the
[08:50.59]  porch
[08:51.21]  and
[08:51.29]  the
[08:51.54]  carbon
[08:52.04]  dioxide
[08:52.73]  coming
[08:53.13]  off
[08:53.38]  a
[08:53.46]  jar
[08:53.71]  of
[08:53.88]  mol
[08:54.13] asses
[08:54.55]  water
[08:54.97]  on
[08:55.26]  the
[08:55.39]  windows
[08:55.96] ill
[08:56.22] .
[08:56.56]  She
[08:56.83]  is
[08:57.04]  going
[08:57.51]  to
[08:57.64]  fly
[08:57.91]  toward
[08:58.45]  the
[08:58.72]  jar
[08:58.98] .
[08:59.28]  Sugar
[08:59.64]  water
[08:59.99]  will
[09:00.35]  not
[09:00.47]  do
[09:00.61]  this
[09:00.89] .
[09:01.12]  Sugar
[09:01.86]  water
[09:02.24]  just
[09:02.77]  sits
[09:03.14]  there
[09:03.70] .
[09:04.08]  The
[09:04.36]  fly
[09:04.64]  might
[09:05.11]  land
[09:05.50]  if
[09:05.82]  she
[09:05.97]  happens
[09:06.64]  to
[09:06.83]  see
[09:07.10]  it
[09:07.48] ,
[09:07.55]  but
[09:07.66]  she
[09:07.84]  is
[09:07.96]  not
[09:08.14]  being
[09:08.45]  called
[09:08.82]  from
[09:09.08]  across
[09:09.44]  the
[09:09.68]  room
[09:10.13] .
[09:10.63]  Mol
[09:10.75] asses
[09:11.19]  calls
[09:11.64]  her
[09:11.92] .
[09:11.92]  There
[09:12.34]  is
[09:12.51]  a
[09:12.59]  man
[09:12.83]  at
[09:13.01]  Cornell
[09:13.60]  University
[09:14.44] ,
[09:14.79]  an
[09:14.82]  ent
[09:15.09] om
[09:15.27] ologist
[09:16.00]  named
[09:16.29]  Bridges
[09:16.80] ,
[09:16.93]  who
[09:17.28]  published
[09:17.82]  a
[09:17.92]  paper
[09:18.48]  in
[09:18.64]  1994
[09:20.00]  measuring
[09:20.64]  the
[09:20.85]  relative
[09:21.44]  attractive
[09:22.12]  power
[09:22.47]  of
[09:22.62]  different
[09:23.25]  ba
[09:23.39] its
[09:23.60]  on
[09:23.76]  the
[09:23.95]  common
[09:24.37]  house
[09:24.76]  fly
[09:24.93] .
[09:25.20]  Mol
[09:25.45] asses
[09:25.87] '
[09:25.95]  solution
[09:26.62]  beat
[09:26.95]  every
[09:27.40]  commercial
[09:28.21]  fly
[09:28.46]  bait
[09:28.79]  on
[09:28.95]  the
[09:29.24]  market
[09:29.70]  by
[09:29.86]  a
[09:29.95]  factor
[09:30.45]  of
[09:30.68]  three
[09:31.01] .
[09:31.36]  The
[09:31.58]  commercial
[09:32.43]  bets
[09:32.67]  use
[09:32.86]  p
[09:33.03] her
[09:33.15] om
[09:33.30] ones
[09:33.60]  and
[09:33.85]  synthetic
[09:34.56]  attract
[09:35.07] ants
[09:35.37]  that
[09:35.69]  cost
[09:35.95]  the
[09:36.17]  company
[09:36.72]  12
[09:37.15]  cents
[09:37.52]  a
[09:37.61]  gram
[09:37.98]  to
[09:38.40]  manufacture
[09:39.17]  and
[09:39.58]  that
[09:39.81]  they
[09:40.18]  sell
[09:40.55]  to
[09:40.73]  you
[09:41.00]  for
[09:41.27]  $
[09:41.37] 90
[09:41.90]  a
[09:42.00]  pound
[09:42.45] .
[09:42.80]  Mol
[09:43.08] asses
[09:43.54]  costs
[09:44.02]  $
[09:44.18] 4
[09:44.41]  a
[09:44.48]  bottle
[09:45.05]  and
[09:45.37]  works
[09:45.80]  better
[09:46.33] .
[09:46.72]  You
[09:46.95]  do
[09:47.10]  the
[09:47.32]  math
[09:47.79]  on
[09:47.83]  which
[09:48.17]  one
[09:48.40]  the
[09:48.62]  pest
[09:48.96]  control
[09:49.52]  aisle
[09:49.87]  would
[09:50.22]  rather
[09:50.64]  sell
[09:50.92]  you
[09:51.36] .
[09:51.36]  Now
[09:51.60] ,
[09:51.76]  here
[09:52.09]  is
[09:52.25]  how
[09:52.49]  you
[09:52.73]  build
[09:53.14]  it
[09:53.30] .
[09:53.60]  Take
[09:53.97]  your
[09:54.32]  jar
[09:54.55] .
[09:54.88]  Pour
[09:55.22]  in
[09:55.47]  one
[09:55.64]  tablespoon
[09:56.48]  of
[09:56.65]  mol
[09:56.90] asses
[09:57.32] .
[09:57.60]  Add
[09:57.88]  about
[09:58.35]  half
[09:58.81]  a
[09:58.82]  cup
[09:59.13]  of
[09:59.29]  warm
[09:59.67]  water
[10:00.05] .
[10:00.48]  Warm
[10:00.94] ,
[10:01.33]  not
[10:01.55]  hot
[10:01.87] .
[10:02.24]  You
[10:02.46]  are
[10:02.68]  not
[10:02.90]  cooking
[10:03.42]  it
[10:03.57] .
[10:03.99]  You
[10:04.04]  just
[10:04.31]  want
[10:04.58]  to
[10:04.71]  dissolve
[10:05.25]  the
[10:05.45]  mol
[10:05.65] asses
[10:05.99]  so
[10:06.22]  it
[10:06.25]  stops
[10:06.61]  being
[10:06.98]  a
[10:06.99]  sticky
[10:07.40]  lump
[10:07.67]  on
[10:07.80]  the
[10:08.05]  bottom
[10:08.41] .
[10:08.72]  Stir
[10:09.27]  it
[10:09.38]  with
[10:09.64]  the
[10:09.91]  handle
[10:10.48]  of
[10:10.66]  a
[10:10.75]  wooden
[10:11.31]  spoon
[10:11.77]  until
[10:12.23]  the
[10:12.51]  water
[10:13.04]  is
[10:13.15]  uniformly
[10:14.10]  dark
[10:14.40]  brown
[10:14.82] .
[10:15.20]  Add
[10:15.48]  one
[10:15.76]  drop
[10:16.13]  of
[10:16.39]  dish
[10:16.68]  soap
[10:17.03] .
[10:17.36]  One
[10:17.64]  drop
[10:18.05] ,
[10:18.28]  not
[10:18.51]  two
[10:18.75] ,
[10:18.93]  not
[10:19.23]  a
[10:19.30]  squ
[10:19.58] irt
[10:19.85] .
[10:20.16]  One
[10:20.39]  drop
[10:20.69] ,
[10:21.07]  the
[10:21.11]  size
[10:21.37]  of
[10:21.52]  a
[10:21.59]  small
[10:21.97]  pe
[10:22.12] a
[10:22.19] .
[10:22.48]  The
[10:22.73]  dish
[10:23.27]  soap
[10:23.42]  breaks
[10:24.00]  the
[10:24.21]  surface
[10:24.80]  tension
[10:25.40]  of
[10:25.57]  the
[10:25.83]  water
[10:26.24] .
[10:26.56]  A
[10:26.73]  fly
[10:26.94]  that
[10:27.30]  lands
[10:27.76]  on
[10:27.95]  plain
[10:28.40]  water
[10:28.86]  can
[10:29.21]  stand
[10:29.60]  on
[10:29.78]  top
[10:30.06]  of
[10:30.24]  it
[10:30.61]  because
[10:31.03]  her
[10:31.27]  weight
[10:31.74]  is
[10:31.90]  so
[10:32.06]  small
[10:32.65]  that
[10:32.79]  the
[10:33.01]  water
[10:33.39]  holds
[10:33.77]  her
[10:33.99]  up
[10:34.15] .
[10:34.40]  The
[10:34.67]  soap
[10:35.24]  takes
[10:35.48]  that
[10:35.84]  away
[10:36.48] .
[10:36.48]  She
[10:36.79]  lands
[10:37.28] ,
[10:37.63]  she
[10:37.78]  sinks
[10:38.21] ,
[10:38.59]  she
[10:38.64]  drown
[10:39.07] s
[10:39.15]  within
[10:39.67]  about
[10:40.13]  three
[10:40.53]  seconds
[10:41.11] .
[10:41.44]  Now
[10:41.71] ,
[10:41.88]  the
[10:42.17]  paper
[10:42.61] .
[10:42.88]  You
[10:43.12]  take
[10:43.46]  your
[10:43.78]  piece
[10:44.25]  of
[10:44.35]  brown
[10:44.83]  paper
[10:45.17]  and
[10:45.41]  you
[10:45.65]  roll
[10:46.09]  it
[10:46.14]  into
[10:46.48]  a
[10:46.55]  cone
[10:46.88] .
[10:47.20]  You
[10:47.47]  want
[10:47.85]  the
[10:48.10]  wide
[10:48.46]  end
[10:48.74]  to
[10:48.92]  fit
[10:49.25]  just
[10:49.54]  inside
[10:50.27]  the
[10:50.36]  lip
[10:50.63]  of
[10:50.81]  the
[10:51.08]  jar
[10:51.44]  and
[10:51.69]  the
[10:51.94]  narrow
[10:52.44]  end
[10:52.69]  to
[10:52.85]  have
[10:53.18]  an
[10:53.34]  opening
[10:53.92]  about
[10:54.33]  the
[10:54.58]  size
[10:54.91]  of
[10:55.07]  a
[10:55.15]  pencil
[10:55.65]  er
[10:55.81] aser
[10:56.48] .
[10:56.48]  Tape
[10:56.83]  the
[10:57.04]  seam
[10:57.36]  of
[10:57.52]  the
[10:57.77]  cone
[10:58.08]  with
[10:58.40]  one
[10:58.64]  piece
[10:59.05]  of
[10:59.21]  tape
[10:59.71]  so
[10:59.79]  it
[11:00.00]  holds
[11:00.49]  its
[11:00.73]  shape
[11:01.20] .
[11:01.60]  Set
[11:01.95]  the
[11:02.16]  cone
[11:02.79] ,
[11:02.82]  narrow
[11:03.42]  end
[11:03.74]  down
[11:04.16] ,
[11:04.46]  into
[11:04.74]  the
[11:05.00]  mouth
[11:05.43]  of
[11:05.60]  the
[11:05.86]  jar
[11:06.13] .
[11:06.40]  The
[11:06.64]  narrow
[11:07.13]  opening
[11:07.71]  should
[11:08.19]  be
[11:08.35]  about
[11:08.76]  an
[11:08.92]  inch
[11:09.36]  above
[11:09.71]  the
[11:09.82]  surface
[11:10.31]  of
[11:10.48]  the
[11:10.72]  mol
[11:10.96] asses
[11:11.35]  water
[11:12.00] .
[11:12.00]  That
[11:12.25]  is
[11:12.37]  the
[11:12.56]  whole
[11:12.88]  trap
[11:13.16] .
[11:13.36]  Five
[11:14.09]  minutes
[11:14.27]  to
[11:14.43]  build
[11:14.84] .
[11:15.12]  Three
[11:15.84]  dollars
[11:16.16]  total
[11:16.59]  if
[11:16.76]  you
[11:17.16]  had
[11:17.28]  to
[11:17.45]  buy
[11:17.71]  the
[11:17.97]  mol
[11:18.23] asses
[11:18.66] .
[11:18.96]  Less
[11:19.30]  if
[11:19.56]  you
[11:19.73]  already
[11:20.33]  had
[11:20.59]  it
[11:20.75] .
[11:21.04]  Set
[11:21.24]  it
[11:21.40]  on
[11:21.50]  your
[11:21.77]  windows
[11:22.25] ill
[11:22.45]  in
[11:22.58]  the
[11:22.78]  morning
[11:23.26] .
[11:23.52]  By
[11:23.67]  that
[11:23.97]  evening
[11:24.50] ,
[11:24.82]  you
[11:24.88]  will
[11:25.18]  have
[11:25.48]  flies
[11:25.86]  in
[11:26.01]  the
[11:26.24]  bottom
[11:26.74]  of
[11:26.85]  the
[11:27.08]  jar
[11:27.27] .
[11:27.75]  By
[11:27.76]  the
[11:27.98]  next
[11:28.33]  morning
[11:28.82] ,
[11:29.14]  you
[11:29.21]  will
[11:29.52]  have
[11:29.83]  a
[11:29.95]  great
[11:30.28]  many
[11:30.59]  flies
[11:30.99]  in
[11:31.12]  the
[11:31.35]  bottom
[11:31.81]  of
[11:31.96]  the
[11:32.19]  jar
[11:32.35] .
[11:32.72]  The
[11:32.99]  cone
[11:33.35]  is
[11:33.60]  the
[11:33.80]  genius
[11:34.34]  of
[11:34.52]  the
[11:34.79]  design
[11:35.36]  and
[11:35.65]  it
[11:35.84]  is
[11:36.03]  not
[11:36.32]  mine
[11:36.71] .
[11:37.04]  It
[11:37.21]  is
[11:37.38]  at
[11:37.54]  least
[11:38.13]  200
[11:38.73]  years
[11:39.15]  old
[11:39.38] .
[11:39.68]  A
[11:39.84]  fly
[11:40.06]  flies
[11:40.43]  down
[11:40.76]  through
[11:41.35]  the
[11:41.60]  narrow
[11:42.10]  opening
[11:42.72]  of
[11:42.91]  the
[11:43.20]  cone
[11:43.60]  because
[11:44.13]  she
[11:44.35]  smells
[11:44.80]  the
[11:45.02]  fermentation
[11:45.93]  below
[11:46.28] .
[11:46.56]  She
[11:46.81]  lands
[11:47.23]  on
[11:47.41]  the
[11:47.65]  surface
[11:48.30]  of
[11:48.42]  the
[11:48.66]  water
[11:49.08] .
[11:49.36]  She
[11:49.70]  drown
[11:50.20] s
[11:50.31] .
[11:50.64]  Now
[11:50.90] ,
[11:51.07]  she
[11:51.33]  wants
[11:51.78]  to
[11:51.93]  leave
[11:52.23] .
[11:52.64]  She
[11:52.87]  rises
[11:53.25]  up
[11:53.40]  from
[11:53.70]  the
[11:53.93]  surface
[11:54.61]  and
[11:54.73]  she
[11:54.97]  starts
[11:55.49]  looking
[11:56.08]  for
[11:56.33]  the
[11:56.58]  way
[11:56.83]  out
[11:57.12] .
[11:57.33]  But
[11:57.39]  a
[11:57.48]  fly
[11:57.75]  does
[11:58.17]  not
[11:58.38]  navigate
[11:59.10]  by
[11:59.34]  looking
[11:59.91]  down
[12:00.29] .
[12:00.56]  She
[12:00.80]  navig
[12:01.20] ates
[12:01.52]  by
[12:01.68]  flying
[12:02.15]  upward
[12:02.66]  and
[12:02.88]  outward
[12:03.45]  toward
[12:03.93]  the
[12:04.16]  light
[12:04.57] .
[12:04.88]  She
[12:05.15]  flies
[12:05.60]  up
[12:05.80]  to
[12:05.96]  the
[12:06.23]  wide
[12:06.62]  inside
[12:07.13]  walls
[12:07.57]  of
[12:07.76]  the
[12:08.03]  cone
[12:08.40]  and
[12:08.67]  then
[12:09.17]  up
[12:09.21]  to
[12:09.45]  the
[12:09.66]  inside
[12:10.21]  walls
[12:10.68]  of
[12:10.85]  the
[12:11.12]  jar
[12:11.39]  above
[12:11.87]  the
[12:12.12]  cone
[12:12.54] .
[12:12.56]  And
[12:12.85]  she
[12:13.14]  bumps
[12:13.68]  and
[12:13.91]  bumps
[12:14.55]  and
[12:14.59]  never
[12:14.92]  finds
[12:15.25]  the
[12:15.44]  little
[12:15.83]  opening
[12:16.32]  she
[12:16.52]  came
[12:16.80]  in
[12:16.96]  through
[12:17.44]  because
[12:17.98]  it
[12:18.13]  is
[12:18.28]  below
[12:18.67]  her
[12:18.90]  and
[12:19.16]  she
[12:19.36]  is
[12:19.51]  looking
[12:20.12]  above
[12:20.45]  her
[12:20.67] .
[12:20.96]  She
[12:21.33]  dies
[12:21.75]  in
[12:21.97]  there
[12:22.56] .
[12:22.71]  Without
[12:23.22]  a
[12:23.33]  sw
[12:23.49] atter
[12:24.10] ,
[12:24.14]  without
[12:24.80]  poison
[12:25.54] ,
[12:25.61]  without
[12:26.20]  a
[12:26.29]  sound
[12:26.79]  you
[12:27.04]  can
[12:27.32]  hear
[12:27.76] .
[12:27.76]  You
[12:28.04]  empty
[12:28.51]  the
[12:28.79]  jar
[12:29.22]  once
[12:29.45]  a
[12:29.54]  week
[12:29.87] .
[12:30.24]  You
[12:30.49]  rinse
[12:30.91]  it
[12:31.08]  out
[12:31.33] .
[12:31.60]  You
[12:31.85]  make
[12:32.18]  a
[12:32.35]  fresh
[12:32.67]  batch
[12:33.06] .
[12:33.36]  That
[12:33.68]  is
[12:33.81]  the
[12:34.03]  whole
[12:34.40]  maintenance
[12:35.23]  schedule
[12:35.83]  for
[12:36.07]  the
[12:36.27]  entire
[12:36.72]  fly
[12:36.94]  season
[12:37.38] .
[12:37.68]  One
[12:37.91]  jar
[12:38.14]  on
[12:38.29]  the
[12:38.52]  kitchen
[12:39.09]  windows
[12:39.60] ill
[12:39.83]  is
[12:39.98]  good
[12:40.29] .
[12:40.56]  Three
[12:41.22]  jars
[12:41.60]  is
[12:41.83]  better
[12:42.52] .
[12:42.88]  You
[12:43.12]  put
[12:43.38]  one
[12:43.60]  in
[12:43.76]  the
[12:44.04]  kitchen
[12:44.56]  but
[12:44.84]  not
[12:45.14]  on
[12:45.33]  the
[12:45.60]  table
[12:46.00]  where
[12:46.44]  you
[12:46.70]  eat
[12:46.99] .
[12:47.28]  The
[12:47.54]  windows
[12:48.14] ill
[12:48.40]  is
[12:48.57]  right
[12:48.95] .
[12:49.50]  You
[12:49.55]  put
[12:49.85]  one
[12:50.09]  in
[12:50.27]  the
[12:50.54]  pant
[12:50.90] ry
[12:51.21]  if
[12:51.26]  you
[12:51.53]  have
[12:51.89]  one
[12:52.34]  or
[12:52.40]  above
[12:52.80]  the
[12:53.06]  cabinet
[12:53.86]  where
[12:53.94]  you
[12:54.10]  keep
[12:54.32]  your
[12:54.48]  trash
[12:54.88]  can
[12:55.60] .
[12:55.60]  And
[12:55.90]  you
[12:56.20]  put
[12:56.50]  one
[12:56.80]  outside
[12:57.71]  on
[12:57.77]  the
[12:58.05]  porch
[12:58.71]  or
[12:58.72]  near
[12:59.05]  the
[12:59.30]  back
[12:59.63]  door
[13:00.00]  about
[13:00.39]  ten
[13:00.62]  feet
[13:00.93]  from
[13:01.43]  where
[13:01.63]  the
[13:01.91]  flies
[13:02.25]  are
[13:02.51]  coming
[13:02.94]  in
[13:03.08]  from
[13:03.39] .
[13:03.68]  That
[13:04.04]  last
[13:04.38]  one
[13:04.58]  is
[13:04.85]  the
[13:05.00]  most
[13:05.36]  important
[13:06.29]  and
[13:06.39]  the
[13:06.70]  one
[13:07.01]  most
[13:07.47]  folks
[13:07.95]  skip
[13:08.40]  because
[13:08.95]  the
[13:09.17]  flies
[13:09.56]  are
[13:09.79]  coming
[13:10.28]  from
[13:10.56]  somewhere
[13:11.27]  outside
[13:11.78] .
[13:12.08]  If
[13:12.29]  you
[13:12.43]  can
[13:12.64]  intercept
[13:13.28]  them
[13:13.56]  in
[13:13.70]  the
[13:13.91]  yard
[13:14.38]  before
[13:14.62]  they
[13:14.90]  ever
[13:15.23]  cross
[13:15.58]  the
[13:15.75]  threshold
[13:16.48] ,
[13:16.68]  you
[13:16.69]  have
[13:16.95]  shut
[13:17.25]  the
[13:17.42]  door
[13:17.69]  on
[13:17.89]  the
[13:18.02]  problem
[13:18.49]  instead
[13:18.96]  of
[13:19.13]  fighting
[13:19.63]  it
[13:19.76]  inside
[13:20.16]  the
[13:20.36]  house
[13:20.69] .
[13:20.96]  Now
[13:21.63] ,
[13:22.23]  here
[13:22.42]  is
[13:22.62]  the
[13:22.85]  part
[13:23.21]  most
[13:23.61]  folks
[13:23.96]  get
[13:24.23]  wrong
[13:24.64]  about
[13:25.08]  placement
[13:25.79] .
[13:26.16]  Do
[13:26.33]  not
[13:26.64]  put
[13:26.85]  the
[13:27.11]  jar
[13:27.37]  next
[13:27.78]  to
[13:27.91]  where
[13:28.31]  you
[13:28.57]  eat
[13:28.73] .
[13:29.12]  Do
[13:29.28]  not
[13:29.52]  put
[13:29.76]  it
[13:29.92]  on
[13:30.10]  the
[13:30.38]  counter
[13:30.87]  where
[13:31.26]  you
[13:31.53]  prepare
[13:32.05]  food
[13:32.35] .
[13:32.64]  A
[13:32.80]  working
[13:33.48]  fly
[13:33.80]  trap
[13:34.38]  with
[13:34.64]  40
[13:34.97]  or
[13:35.11]  50
[13:35.55]  drowned
[13:36.07]  flies
[13:36.48]  in
[13:36.65]  the
[13:36.91]  bottom
[13:37.53]  is
[13:37.61]  not
[13:37.89]  appet
[13:38.31] izing
[13:38.75]  to
[13:38.92]  look
[13:39.27]  at
[13:39.44] .
[13:39.76]  It
[13:39.95]  also
[13:40.34]  smells
[13:40.91]  a
[13:41.01]  little
[13:41.62]  of
[13:41.78]  ferment
[13:42.46] ing
[13:42.75]  mol
[13:43.04] asses
[13:43.52] ,
[13:43.97]  which
[13:44.17]  is
[13:44.33]  sweet
[13:44.92]  and
[13:44.98]  not
[13:45.23]  unpleasant
[13:46.14]  but
[13:46.28]  is
[13:46.44]  not
[13:46.69]  what
[13:47.05]  you
[13:47.25]  want
[13:47.58]  next
[13:47.91]  to
[13:48.11]  the
[13:48.31]  bread
[13:48.69] .
[13:49.04]  Set
[13:49.31]  it
[13:49.49]  back
[13:49.85]  from
[13:50.21]  the
[13:50.50]  action
[13:51.04] .
[13:51.04]  On
[13:51.27]  a
[13:51.34]  high
[13:51.75]  windows
[13:52.47] ill
[13:52.94] ,
[13:52.97]  on
[13:53.11]  top
[13:53.35]  of
[13:53.55]  the
[13:53.75]  refrigerator
[13:54.83]  if
[13:54.87]  it
[13:54.96]  gets
[13:55.18]  enough
[13:55.51]  light
[13:55.80] .
[13:56.00]  Behind
[13:56.76]  the
[13:57.08]  wash
[13:57.56] bas
[13:57.91] in
[13:58.14] ,
[13:58.59]  you
[13:58.61]  want
[13:58.89]  the
[13:59.10]  flies
[13:59.45]  drawn
[13:59.80]  away
[14:00.08]  from
[14:00.36]  you
[14:00.55] ,
[14:00.89]  not
[14:01.00]  toward
[14:01.57]  you
[14:01.85] .
[14:02.16]  That
[14:02.49]  is
[14:02.61]  the
[14:02.83]  same
[14:03.13]  principle
[14:03.81]  from
[14:04.11]  the
[14:04.33]  mosquito
[14:04.96]  trap
[14:05.43]  in
[14:05.48]  my
[14:05.68]  last
[14:06.09]  video
[14:06.63] .
[14:06.64]  You
[14:06.88]  are
[14:07.12]  not
[14:07.41]  decor
[14:07.76] ating
[14:08.15] ,
[14:08.57]  you
[14:08.58]  are
[14:08.82]  setting
[14:09.41]  bait
[14:09.97]  and
[14:10.02]  bait
[14:10.37]  belongs
[14:10.98]  away
[14:11.33]  from
[14:11.67]  camp
[14:12.02] .
[14:12.47]  If
[14:12.50]  you
[14:12.69]  missed
[14:13.14]  that
[14:13.44]  one
[14:13.66] ,
[14:13.93]  the
[14:14.03]  link
[14:14.32]  is
[14:14.49]  in
[14:14.63]  the
[14:14.85]  description
[14:15.67]  below
[14:16.32] .
[14:16.32]  Same
[14:16.60]  idea
[14:16.88] ,
[14:17.02]  different
[14:17.65]  pest
[14:17.93] .
[14:18.16]  Now
[14:18.31] ,
[14:18.80]  here
[14:18.94]  is
[14:19.11]  something
[14:19.90]  I
