[00:00.07]  Fíjate
[06:47.89]  al
[06:48.31]  aire
[06:48.45]  y
[06:48.47]  deja
[06:48.75]  la
[06:48.89]  silicona
[06:49.45]  seca
[06:49.74]  pegada
[06:50.15]  a
[06:50.26]  la
[06:50.36]  madera.
[06:51.00]  En
[06:51.17]  cinco,
[06:51.64]  diez
[06:52.00]  minutos,
[06:52.58]  la
[06:52.72]  tabla
[06:53.07]  ya
[06:53.21]  está
[06:53.71]  seca
[06:53.91]  al
[06:54.05]  tacto
[06:54.35]  y
[06:54.42]  lista
[06:54.78]  para
[06:55.07]  recibir
[06:55.58]  agua.
[06:56.31]  En
[06:56.37]  el
[06:56.42]  tiempo
[06:56.77]  que
[06:56.94]  tardas
[06:57.28]  en
[06:57.39]  tomar
[06:57.68]  un
[06:57.79]  mate,
[06:58.13]  ya
[06:58.24]  impermeabilizaste
[06:59.25]  una
[06:59.38]  puerta.
[07:00.00]  Se
[07:00.17]  aplica
[07:00.66]  con
[07:00.91]  pincel,
[07:01.56]  con
[07:01.81]  un
[07:02.02]  trapo
[07:02.38]  o
[07:02.45]  con
[07:02.91]  esponja.
[07:03.60]  Una
[07:03.87]  mano
[07:04.21]  pareja.
[07:05.00]  Si
[07:05.17]  es
[07:05.26]  una
[07:05.46]  superficie
[07:06.12]  que
[07:06.35]  va
[07:06.45]  a
[07:06.50]  sufrir
[07:06.90]  mucho,
[07:07.40]  mucha
[07:07.91]  lluvia,
[07:08.38]  mucho
[07:08.76]  sol,
[07:09.00]  le
[07:09.17]  das
[07:09.31]  una
[07:09.50]  segunda
[07:10.00]  mano
[07:10.20]  cuando
[07:10.58]  la
[07:10.71]  primera
[07:11.15]  secó,
[07:11.64]  a
[07:11.83]  los
[07:11.91]  diez
[07:12.08]  minutos.
[07:12.80]  Dos
[07:12.98]  manos
[07:13.29]  finitas
[07:13.71]  siempre
[07:14.14]  son
[07:14.32]  mejor
[07:14.63]  que
[07:14.82]  una
[07:14.99]  gruesa.
[07:15.60]  Ya
[07:15.77]  te
[07:15.82]  voy
[07:16.02]  a
[07:16.04]  contar
[07:16.37]  por
[07:16.60]  qué
[07:16.78]  la
[07:16.95]  mano
[07:17.12]  gruesa
[07:17.45]  es
[07:17.62]  un
[07:17.67]  error.
[07:18.20]  Déjame
[07:18.62]  mostrarte
[07:19.20]  cómo
[07:19.55]  se
[07:19.60]  prueba.
[07:20.20]  Porque
[07:20.52]  esto
[07:20.73]  lo
[07:20.83]  tenés
[07:21.20]  que
[07:21.31]  ver
[07:21.46]  con
[07:21.62]  tus
[07:21.79]  propios
[07:22.16]  ojos
[07:22.37]  para
[07:22.58]  creerlo.
[07:23.20]  Agarra
[07:23.62]  una
[07:23.84]  tabla
[07:24.20]  y
[07:24.27]  trata
[07:24.64]  sólo
[07:25.01]  la
[07:25.15]  mitad.
[07:25.94]  La
[07:25.97]  otra
[07:26.23]  mitad
[07:26.60]  la
[07:26.80]  dejas
[07:27.15]  cruda,
[07:27.60]  sin
[07:27.82]  nada.
[07:28.40]  Esto
[07:28.62]  es
[07:28.73]  no
[07:28.84]  más
[07:29.06]  importante
[07:29.61]  para
[07:29.82]  entender,
[07:30.42]  necesitas
[07:31.06]  la
[07:31.31]  comparación.
[07:32.00]  Una
[07:32.22]  parte
[07:32.58]  tratada,
[07:33.25]  una
[07:33.47]  parte
[07:33.83]  cruda,
[07:34.40]  la
[07:34.89]  misma
[07:34.91]  tabla,
[07:35.38]  la
[07:35.52]  misma
[07:35.87]  agua.
[07:36.40]  Ahora
[07:36.82]  échale
[07:37.26]  agua
[07:37.55]  a
[07:37.62]  las
[07:37.84]  dos
[07:38.11]  mitades.
[07:38.60]  Y
[07:38.77]  mira
[07:38.92]  la
[07:39.05]  frontera,
[07:39.70]  mira
[07:39.96]  la
[07:40.09]  línea
[07:40.48]  donde
[07:40.81]  se
[07:40.94]  juntan.
[07:41.60]  En
[07:41.77]  la
[07:41.87]  mitad
[07:42.19]  cruda,
[07:42.66]  el
[07:42.79]  agua
[07:43.06]  se
[07:43.19]  queda.
[07:43.80]  Se
[07:43.97]  oscurece
[07:44.45]  la
[07:44.58]  madera,
[07:45.15]  se
[07:45.24]  pone
[07:45.50]  húmeda,
[07:46.10]  empapada.
[07:46.80]  Y
[07:46.97]  sabes
[07:47.22]  que
[07:47.35]  ahí
[07:47.60]  abajo,
[07:48.03]  en
[07:48.15]  un
[07:48.27]  rato,
[07:48.63]  va
[07:48.75]  a
[07:48.82]  empezar
[07:49.21]  a
[07:49.29]  hinchar.
[07:50.00]  En
[07:50.17]  la
[07:50.27]  mitad
[07:50.58]  tratada,
[07:51.17]  el
[07:51.34]  agua
[07:51.56]  resbala,
[07:52.20]  se
[07:52.35]  hace
[07:52.90]  gotas,
[07:53.23]  se
[07:53.38]  va.
[07:53.94]  Le
[07:53.97]  pasás
[07:54.38]  el
[07:54.52]  dedo
[07:54.81]  y
[07:54.88]  está
[07:55.25]  seca.
[07:55.80]  Es
[07:55.97]  la
[07:56.14]  misma
[07:56.57]  tabla,
[07:57.17]  la
[07:57.34]  misma
[07:57.82]  agua.
[07:58.40]  La
[07:58.57]  única
[07:59.00]  diferencia
[07:59.76]  es
[07:59.90]  la
[08:00.11]  película.
[08:01.00]  Esa
[08:01.20]  línea
[08:01.61]  en
[08:01.75]  el
[08:01.89]  medio,
[08:02.40]  esa
[08:02.56]  frontera
[08:03.02]  entre
[08:03.26]  lo
[08:03.36]  que
[08:03.61]  se
[08:03.62]  arruina
[08:04.05]  y
[08:04.09]  lo
[08:04.27]  que
[08:04.54]  se
[08:04.72]  salva,
[08:05.20]  es
[08:05.37]  la
[08:05.54]  que
[08:05.79]  te
[08:05.96]  va
[08:06.20]  a
[08:06.21]  convencer.
[08:07.00]  Y
[08:07.15]  es
[08:07.18]  la
[08:07.30]  que
[08:07.48]  te
[08:07.59]  va
[08:07.72]  a
[08:07.77]  hacer
[08:08.08]  querer
[08:08.44]  tratar
[08:08.80]  todo
[08:09.04]  lo
[08:09.16]  que
[08:09.34]  tenés
[08:09.82]  en
[08:09.91]  la
[08:09.94]  casa.
[08:10.40]  Ahora,
[08:10.87]  la
[08:10.99]  parte
[08:11.40]  divertida.
[08:12.20]  Porque
[08:12.55]  este
[08:12.78]  invento
[08:13.20]  no
[08:13.31]  es
[08:13.43]  sólo
[08:13.72]  para
[08:13.96]  la
[08:14.08]  madera,
[08:14.60]  es
[08:15.11]  para
[08:15.31]  todo.
[08:15.80]  Y
[08:15.97]  te
[08:16.01]  lo
[08:16.15]  voy
[08:16.36]  a
[08:16.43]  mostrar
[08:16.93]  superficie
[08:17.64]  por
[08:17.85]  superficie,
[08:18.60]  porque
[08:19.02]  cada
[08:19.23]  una
[08:19.42]  tiene
[08:19.74]  su
[08:19.86]  truco.
[08:20.40]  Empecemos
[08:20.91]  por
[08:21.08]  la
[08:21.19]  madera,
[08:21.64]  que
[08:21.81]  es
[08:21.92]  la
[08:22.03]  reina.
[08:22.65]  Y
[08:22.77]  acá
[08:22.88]  hay
[08:23.05]  un
[08:23.16]  detalle
[08:23.60]  que
[08:23.73]  te
[08:23.84]  va
[08:23.95]  a
[08:24.00]  servir.
[08:24.60]  Hay
[08:24.78]  una
[08:25.02]  madera
[08:25.32]  que
[08:25.50]  es
[08:25.62]  la
[08:25.74]  peor
[08:25.98]  de
[08:26.10]  todas
[08:26.40]  para
[08:26.64]  el
[08:26.76]  agua,
[08:27.28]  el
[08:27.51]  aglomerado.
[08:28.60]  Esa
[08:28.78]  madera
[08:29.14]  hecha
[08:29.44]  de
[08:29.60]  virutas
[08:29.98]  pegadas,
[08:30.62]  la
[08:30.72]  del
[08:30.90]  mueble
[08:31.44]  barato,
[08:31.83]  la
[08:31.93]  del
[08:32.13]  placar
[08:32.52]  económico.
[08:33.40]  El
[08:33.57]  aglomerado
[08:34.26]  con
[08:34.48]  una
[08:34.75]  gota
[08:34.99]  de
[08:35.13]  agua
[08:35.42]  ya
[08:35.56]  hincha,
[08:36.31]  se
[08:36.45]  abomba
[08:37.20]  y
[08:37.26]  se
[08:37.38]  te
[08:37.50]  arruina
[08:37.92]  para
[08:38.16]  siempre.
[08:38.80]  Es
[08:38.97]  la
[08:39.08]  más
[08:39.36]  delicada.
[08:40.20]  Bueno,
[08:40.65]  justamente
[08:41.29]  por
[08:41.55]  eso
[08:41.68]  es
[08:41.81]  la
[08:41.94]  mejor
[08:42.26]  para
[08:42.52]  probar
[08:43.11]  esto.
[08:43.40]  Trata
[08:43.73]  un
[08:43.86]  pedazo
[08:44.26]  de
[08:44.40]  aglomerado,
[08:45.18]  échale
[08:45.65]  agua,
[08:46.00]  y
[08:46.17]  vas
[08:46.25]  a
[08:46.31]  ver
[08:46.50]  que
[08:46.69]  la
[08:46.82]  madera
[08:47.20]  que
[08:47.39]  se
[08:47.52]  arruinaba
[08:48.08]  con
[08:48.27]  una
[08:48.45]  gota,
[08:48.80]  ahora
[08:49.09]  la
[08:49.22]  aguanta
[08:49.60]  como
[08:49.83]  si
[08:49.94]  nada.
[08:50.40]  ¿Con
[08:50.72]  qué
[08:50.98]  lo
[08:51.11]  usas?
[08:51.75]  El
[08:51.77]  deck
[08:52.05]  del
[08:52.27]  patio,
[08:52.80]  la
[08:52.97]  cerca,
[08:53.62]  los
[08:53.91]  postes,
[08:54.83]  la
[08:54.94]  puerta
[08:55.38]  del
[08:55.60]  alpón,
[08:56.20]  los
[08:56.41]  cajones
[08:56.91]  de
[08:57.05]  la
[08:57.20]  huerta,
[08:57.80]  las
[08:58.01]  macetas
[08:58.48]  de
[08:58.61]  madera,
[08:59.20]  los
[08:59.39]  muebles
[08:59.83]  de
[08:59.95]  exterior,
[09:00.60]  la
[09:00.74]  mesa
[09:01.03]  que
[09:01.24]  dejas
[09:01.59]  afuera,
[09:02.20]  los
[09:02.37]  mangos
[09:02.71]  de
[09:02.82]  las
[09:02.99]  herramientas
[09:03.69]  para
[09:03.92]  que
[09:04.09]  no
[09:04.22]  se
[09:04.31]  resequen,
[09:05.00]  el
[09:05.17]  gallinero,
[09:06.00]  la
[09:06.10]  casita
[09:06.54]  del
[09:06.76]  perro.
[09:07.40]  Toda
[09:07.64]  madera
[09:07.99]  que
[09:08.18]  esté
[09:08.48]  a
[09:08.54]  la
[09:08.66]  intemperie,
[09:09.42]  que
[09:09.59]  le
[09:09.71]  pegue
[09:10.21]  sol
[09:10.27]  y
[09:10.31]  lluvia,
[09:10.80]  es
[09:10.94]  candidata.
[09:11.80]  Una
[09:12.02]  manito
[09:12.46]  de
[09:12.61]  esto
[09:12.91]  y
[09:12.98]  le
[09:13.14]  sumas
[09:13.51]  años
[09:13.87]  de
[09:14.02]  vida.
[09:14.60]  Segunda
[09:15.11]  superficie,
[09:16.00]  y
[09:16.06]  esta
[09:16.31]  te
[09:16.42]  va
[09:16.54]  a
[09:16.62]  volar
[09:16.90]  la
[09:17.01]  cabeza.
[09:17.75]  El
[09:17.77]  cartón,
[09:18.48]  sí,
[09:18.88]  cartón,
[09:19.62]  el
[09:19.76]  cartón
[09:20.51]  común,
[09:20.96]  el
[09:21.12]  de
[09:21.29]  las
[09:21.52]  cajas.
[09:22.20]  Escúchame
[09:22.79]  esto
[09:23.04]  porque
[09:23.40]  es
[09:23.55]  un
[09:23.64]  secreto
[09:24.06]  que
[09:24.24]  casi
[09:24.47]  nadie
[09:24.96]  usa.
[09:25.20]  El
[09:25.37]  cartón
[09:25.71]  es
[09:25.82]  uno
[09:25.99]  de
[09:26.10]  los
[09:26.27]  mejores
[09:26.67]  aislantes
[09:27.22]  que
[09:27.34]  existen,
[09:27.80]  y
[09:27.97]  es
[09:28.01]  gratis,
[09:28.58]  lo
[09:28.80]  tirás
[09:29.16]  todos
[09:29.53]  los
[09:29.75]  días.
[09:30.40]  Aísla
[09:30.84]  del
[09:31.06]  frío,
[09:31.58]  del
[09:31.80]  calor,
[09:32.32]  del
[09:32.54]  ruido.
[09:33.20]  La
[09:33.37]  gente
[09:33.68]  no
[09:33.82]  lo
[09:33.96]  usa
[09:34.20]  para
[09:34.44]  aislar
[09:34.85]  por
[09:35.06]  una
[09:35.27]  sola
[09:35.54]  razón,
[09:36.00]  porque
[09:36.47]  se
[09:36.63]  moja
[09:37.00]  y
[09:37.02]  se
[09:37.18]  deshace.
[09:38.00]  Es
[09:38.17]  su
[09:38.24]  única
[09:38.62]  debilidad.
[09:39.40]  Bueno,
[09:39.93]  adivina
[09:40.45]  qué.
[09:41.00]  Impermeabilizas
[09:42.00]  el
[09:42.05]  cartón
[09:42.49]  con
[09:42.71]  esto,
[09:43.14]  y
[09:43.21]  le
[09:43.35]  sacás
[09:43.91]  su
[09:43.91]  única
[09:44.33]  debilidad.
[09:45.32]  Un
[09:45.37]  cartón
[09:45.74]  tratado
[09:46.20]  con
[09:46.34]  la
[09:46.46]  mezcla
[09:46.81]  repela
[09:47.22]  el
[09:47.30]  agua
[09:47.54]  igual
[09:48.03]  que
[09:48.11]  la
[09:48.15]  madera.
[09:48.80]  El
[09:48.97]  agua
[09:49.28]  resbala,
[09:50.00]  se
[09:50.16]  cae,
[09:50.60]  y
[09:50.67]  el
[09:50.82]  cartón
[09:51.70]  queda
[09:51.71]  seco,
[09:52.15]  firme,
[09:52.67]  entero.
[09:53.40]  De
[09:53.57]  golpe
[09:53.87]  tenés
[09:54.27]  un
[09:54.40]  material
[09:54.94]  aislante,
[09:55.60]  gratis,
[09:56.27]  y
[09:56.31]  ahora
[09:56.63]  resistente
[09:57.35]  al
[09:57.49]  agua.
[09:57.80]  Para
[09:58.04]  forrar
[09:58.39]  un
[09:58.52]  techo,
[09:58.94]  para
[09:59.18]  aislar
[09:59.54]  una
[09:59.72]  pared,
[10:00.20]  para
[10:00.42]  hacer
[10:00.70]  cajas
[10:00.98]  de
[10:01.09]  guardado
[10:01.54]  que
[10:01.70]  aguanten
[10:02.22]  la
[10:02.27]  humedad
[10:02.65]  del
[10:03.00]  depósito,
[10:03.40]  para
[10:03.71]  un
[10:03.86]  montón
[10:04.40]  de
[10:04.55]  cosas.
[10:05.20]  Fíjate
[10:05.62]  la
[10:05.68]  prueba.
[10:06.20]  Agarrá
[10:06.66]  dos
[10:06.86]  pedazos
[10:07.32]  de
[10:07.45]  cartón,
[10:08.05]  uno
[10:08.25]  crudo
[10:08.58]  y
[10:08.64]  uno
[10:09.10]  tratado,
[10:09.60]  y
[10:09.77]  échales
[10:10.29]  agua
[10:10.60]  a
[10:10.67]  los
[10:10.94]  dos.
[10:11.40]  El
[10:11.57]  crudo
[10:11.89]  se
[10:12.03]  empapa,
[10:12.60]  se
[10:12.74]  pone
[10:12.93]  blando,
[10:13.42]  se
[10:13.60]  abomba,
[10:14.25]  y
[10:14.35]  en
[10:14.37]  un
[10:14.46]  ratito
[10:14.74]  lo
[10:14.84]  levantás,
[10:15.40]  y
[10:15.45]  está
[10:15.74]  para
[10:15.97]  tirar,
[10:16.40]  roto,
[10:17.11]  deshecho.
[10:18.00]  El
[10:18.17]  tratado,
[10:18.77]  el
[10:18.91]  agua
[10:19.19]  resbala,
[10:19.82]  no
[10:20.02]  se
[10:20.10]  queda,
[10:20.60]  y
[10:20.77]  cuando
[10:21.08]  lo
[10:21.22]  levantás,
[10:22.00]  está
[10:22.41]  seco.
[10:23.00]  Seco.
[10:23.80]  Y
[10:23.97]  es
[10:24.11]  cartón.
[10:25.20]  Eso,
[10:25.48]  la
[10:25.62]  primera
[10:26.00]  vez
[10:26.20]  que
[10:26.34]  lo
[10:26.45]  ves,
[10:26.80]  no
[10:26.96]  lo
[10:27.12]  podés
[10:27.60]  creer,
[10:28.25]  jaja.
[10:28.80]  Tercera,
[10:29.60]  el
[10:29.80]  papel.
[10:30.60]  Y
[10:30.77]  esto
[10:30.91]  es
[10:31.03]  casi
[10:31.28]  magia.
[10:31.80]  Una
[10:32.06]  hoja
[10:32.39]  de
[10:32.57]  papel,
[10:33.20]  un
[10:33.37]  folio,
[10:33.97]  una
[10:34.22]  etiqueta.
[10:35.20]  Le
[10:35.37]  pasás
[10:35.70]  la
[10:35.82]  mezcla
[10:36.20]  por
[10:36.39]  una
[10:36.58]  cara,
[10:37.00]  se
[10:37.25]  seca,
[10:38.07]  y
[10:38.11]  el
[10:38.25]  agua
[10:38.53]  ya
[10:38.68]  no
[10:38.83]  la
[10:38.98]  penetra.
[10:39.80]  Las
[10:39.99]  gotas
[10:40.30]  resbalan
[10:40.80]  por
[10:40.99]  el
[10:41.14]  papel
[10:41.42]  como
[10:41.68]  resbalarían
[10:42.62]  por
[10:42.71]  un
[10:42.74]  vidrio.
[10:43.55]  Sirve
[10:43.70]  para
[10:43.94]  un
[10:44.06]  montón
[10:44.49]  de
[10:44.61]  cosas
[10:44.92]  del
[10:45.11]  campo
[10:45.42]  y
[10:45.47]  de
[10:45.59]  la
[10:45.71]  casa.
[10:46.20]  Las
[10:46.37]  etiquetas
[10:46.89]  de
[10:47.00]  las
[10:47.20]  plantas
[10:47.57]  de
[10:47.68]  la
[10:47.79]  huerta,
[10:48.20]  que
[10:48.40]  con
[10:48.62]  la
[10:48.72]  lluvia
[10:49.20]  se
[10:49.25]  borran
[10:49.65]  y
[10:49.70]  se
[10:49.84]  deshacen,
[10:50.60]  ahora
[10:50.95]  aguantan
[10:51.51]  toda
[10:51.79]  la
[10:51.94]  temporada.
[10:52.80]  Los
[10:52.98]  sobres
[10:53.34]  de
[10:53.46]  semillas
[10:53.94]  que
[10:54.14]  guardás.
[10:54.80]  Un
[10:54.97]  cartel
[10:55.24]  que
[10:55.40]  tenés
[10:55.80]  que
[10:55.92]  colgar
[10:56.26]  afuera.
[10:56.80]  La
[10:56.97]  tapa
[10:57.22]  de
[10:57.28]  un
[10:57.39]  cuaderno
[10:57.88]  de
[10:58.00]  anotaciones
[10:58.66]  del
[10:58.84]  taller.
[10:59.40]  Documentos
[10:59.95]  que
[11:00.11]  no
[11:00.22]  querés
[11:00.60]  que
[11:00.76]  se
[11:00.87]  arruinen
[11:01.31]  con
[11:01.47]  la
[11:01.58]  humedad.
[11:02.20]  Y
[11:02.37]  la
[11:02.41]  prueba
[11:02.83]  es
[11:02.97]  la
[11:03.11]  misma,
[11:03.60]  contundente.
[11:04.60]  El
[11:04.77]  papel
[11:05.11]  crudo,
[11:05.61]  con
[11:05.83]  dos
[11:06.05]  gotas,
[11:06.60]  se
[11:06.77]  pega,
[11:07.17]  se
[11:07.31]  arruga,
[11:07.95]  se
[11:08.02]  transparenta
[11:08.91]  y
[11:08.98]  se
[11:09.34]  rompe.
[11:09.80]  El
[11:09.97]  papel
[11:10.32]  tratado,
[11:11.00]  el
[11:11.14]  agua
[11:11.39]  resbala,
[11:12.00]  no
[11:12.20]  le
[11:12.71]  hace
[11:12.85]  nada.
[11:13.27]  Y
[11:13.37]  eso
[11:13.48]  que
[11:13.69]  le
[11:13.83]  diste
[11:14.20]  una
[11:14.39]  sola
[11:14.67]  cara.
[11:15.20]  Cuarta
[11:15.66]  superficie,
[11:16.60]  la
[11:16.82]  tela.
[11:17.60]  La
[11:17.77]  lona,
[11:18.24]  el
[11:18.40]  género,
[11:19.12]  el
[11:19.31]  algodón.
[11:20.20]  Y
[11:20.37]  acá
[11:20.48]  te
[11:20.62]  voy
[11:20.76]  a
[11:20.80]  contar
[11:21.20]  algo
[11:21.38]  que
[11:21.54]  tiene
[11:21.82]  siglos.
[11:22.40]  Podés
[11:22.90]  impermeabilizar
[11:24.20]  una
[11:24.42]  lona,
[11:24.80]  una
[11:25.28]  carpa,
[11:25.60]  una
[11:25.80]  campera
[11:26.25]  de
[11:26.38]  trabajo,
[11:27.00]  una
[11:27.31]  bolsa,
[11:28.00]  la
[11:28.17]  funda
[11:28.50]  de
[11:28.64]  algo
[11:29.00]  que
[11:29.15]  dejas
[11:29.50]  afuera.
[11:30.20]  Y
[11:30.37]  esto
[11:30.62]  no
[11:30.70]  es
[11:30.84]  nuevo,
[11:31.34]  ojo.
[11:31.80]  Los
[11:31.98]  marineros
[11:32.52]  de
[11:32.64]  hace
[11:32.89]  200
[11:33.45]  años
[11:33.80]  impermeabilizaban
[11:34.94]  sus
[11:35.14]  capas
[11:35.51]  con
[11:35.67]  aceite
[11:36.07]  y
[11:36.15]  grasa.
[11:36.80]  Les
[11:37.06]  decían
[11:37.64]  hules
[11:38.06]  o
[11:38.14]  encerados.
[11:39.20]  Las
[11:39.37]  camperas
[11:39.82]  de
[11:39.93]  campo
[11:40.21]  inglesas
[11:40.66]  famosas,
[11:41.22]  las
[11:41.49]  enceradas,
[11:42.57]  son
[11:42.62]  exactamente
[11:43.45]  esto.
[11:44.00]  Tela
[11:44.22]  de
[11:44.33]  algodón
[11:44.78]  tratada
[11:45.18]  para
[11:45.41]  que
[11:45.58]  el
[11:45.71]  agua
[11:45.92]  resvale.
[11:46.60]  La
[11:46.77]  lona
[11:47.03]  de
[11:47.17]  los
[11:47.38]  toldos,
[11:48.00]  la
[11:48.13]  de
[11:48.31]  los
[11:48.46]  camiones.
[11:49.20]  Todo
[11:49.43]  eso
[11:49.62]  está
[11:49.88]  impermeabilizado
[11:50.78]  con
[11:50.95]  la
[11:51.06]  misma
[11:51.34]  idea.
[11:51.80]  Ahora,
[11:52.60]  un
[11:52.80]  consejo
[11:53.20]  honesto
[11:53.67]  de
[11:53.82]  artesano,
[11:54.40]  porque
[11:54.73]  quiero
[11:55.06]  que
[11:55.22]  te
[11:55.40]  salga
[11:55.60]  bien.
[11:56.00]  Para
[11:56.29]  la
[11:56.44]  tela
[11:56.73]  que
[11:57.00]  vas
[11:57.17]  a
[11:57.24]  tocar,
[11:57.80]  que
[11:58.04]  vas
[11:58.27]  a
[11:58.36]  usar
[11:58.84]  puesta,
[11:59.20]  como
[11:59.54]  una
[11:59.79]  campera
[12:00.40]  o
[12:00.48]  una
[12:00.74]  bolsa,
[12:01.20]  yo
[12:01.37]  prefiero
[12:01.92]  la
[12:02.06]  versión
[12:02.65]  con
[12:02.90]  cera,
[12:03.20]  que
[12:03.40]  te
[12:03.53]  voy
[12:03.73]  a
[12:03.78]  explicar
[12:04.31]  en
[12:04.45]  un
[12:04.58]  ratito,
[12:05.00]  porque
[12:05.42]  queda
[12:05.66]  más
[12:05.90]  flexible
[12:06.40]  y
[12:06.45]  no
[12:06.56]  tiene
[12:06.84]  olor
[12:07.07]  a
[12:07.12]  solvente.
[12:07.80]  Para
[12:08.09]  una
[12:08.31]  lona
[12:08.60]  o
[12:08.67]  un
[12:08.81]  toldo
[12:09.20]  que
[12:09.41]  va
[12:09.55]  afuera
[12:10.00]  y
[12:10.08]  no
[12:10.23]  toca
[12:10.71]  la
[12:10.71]  piel,
[12:11.32]  la
[12:11.37]  silicona
[12:11.80]  con
[12:11.99]  disolvente
[12:12.60]  anda
[12:12.85]  perfecto.
[12:13.60]  Cada
[12:13.88]  cosa
[12:14.16]  tiene
[12:14.51]  su
[12:14.65]  versión
[12:15.21]  mejor
[12:15.62]  y
[12:15.66]  te
[12:15.79]  las
[12:15.98]  voy
[12:16.23]  a
[12:16.42]  dar
[12:16.51]  todas.
[12:17.00]  Quinta,
[12:17.88]  el
[12:18.10]  cuero.
[12:19.00]  Las
[12:19.23]  botas,
[12:19.76]  los
[12:20.00]  zapatos
[12:20.52]  de
[12:20.71]  trabajo,
[12:21.40]  un
[12:21.57]  cinturón,
[12:22.40]  los
[12:22.60]  guantes,
[12:23.20]  una
[12:23.42]  montura,
[12:24.27]  las
[12:24.31]  riendas.
[12:25.20]  El
[12:25.37]  cuero
[12:25.73]  es
[12:25.88]  piel
[12:26.20]  y
[12:26.28]  la
[12:26.45]  piel
[12:26.79]  necesita
[12:27.47]  dos
[12:28.11]  cosas,
[12:28.20]  que
[12:28.39]  no
[12:28.52]  le
[12:28.65]  entre
[12:28.97]  el
[12:29.11]  agua
[12:29.40]  y
[12:29.48]  que
[12:29.74]  no
[12:29.91]  se
[12:30.08]  reseque
[12:30.69]  y
[12:30.94]  se
[12:31.02]  raje.
[12:31.60]  Las
[12:31.79]  botas
[12:32.10]  que
[12:32.29]  se
[12:32.41]  te
[12:32.60]  empapan
[12:33.00]  y
[12:33.05]  te
[12:33.15]  dejan
[12:33.40]  el
[12:33.54]  pie
[12:33.75]  helado
[12:34.20]  todo
[12:34.53]  el
[12:34.69]  día
[12:35.02]  de
[12:35.20]  trabajo,
[12:35.94]  se
[12:36.08]  terminan
[12:36.65]  con
[12:37.11]  esto.
[12:37.40]  Una
[12:37.63]  mano
[12:37.94]  y
[12:38.00]  el
[12:38.16]  agua
[12:38.47]  resbala,
[12:39.20]  el
[12:39.42]  pie
[12:39.69]  queda
[12:40.31]  seco.
[12:40.77]  Pero
[12:40.86]  acá
[12:41.12]  de
[12:41.25]  nuevo,
[12:41.71]  el
[12:41.84]  consejo
[12:42.31]  de
[12:42.43]  artesano.
[12:43.20]  Para
[12:43.47]  el
[12:43.62]  cuero,
[12:44.06]  lo
[12:44.20]  mejor
[12:44.55]  de
[12:44.66]  lo
[12:44.79]  mejor
[12:45.22]  es
[12:45.41]  la
[12:45.63]  cera
[12:46.11]  o
[12:46.25]  la
[12:46.43]  grasa,
[12:47.00]  porque
[12:47.34]  además
[12:47.73]  de
[12:47.84]  tapar
[12:48.12]  el
[12:48.23]  agua,
[12:48.60]  alimenta
[12:49.06]  el
[12:49.17]  cuero,
[12:49.60]  lo
[12:49.77]  mantiene
[12:50.37]  blando,
[12:50.98]  lo
[12:51.13]  nutre.
[12:51.80]  La
[12:51.97]  silicona
[12:52.42]  lo
[12:52.54]  impermeabiliza,
[12:53.53]  pero
[12:53.82]  no
[12:53.90]  lo
[12:54.02]  alimenta.
[12:54.80]  Así
[12:55.06]  que
[12:55.26]  para
[12:55.52]  las
[12:55.80]  botas
[12:56.05]  buenas,
[12:56.60]  cera.
[12:57.40]  Para
[12:57.64]  unas
[12:57.88]  botas
[12:58.18]  de
[12:58.30]  laburo
[12:58.66]  que
[12:58.84]  solo
[12:59.11]  querés
[12:59.50]  que
[12:59.68]  aguanten,
[13:00.20]  la
[13:00.37]  mezcla
[13:00.87]  rápida
[13:01.46]  sirve
[13:01.91]  igual.
[13:02.60]  Sexta,
[13:03.19]  el
[13:03.36]  barro,
[13:03.96]  la
[13:04.13]  terracota,
[13:05.20]  el
[13:05.51]  hormigón.
[13:06.20]  Las
[13:06.39]  macetas
[13:06.83]  de
[13:06.95]  barro,
[13:07.38]  los
[13:07.57]  ladrillos
[13:08.13]  a
[13:08.22]  la
[13:08.31]  vista,
[13:08.95]  el
[13:08.97]  piso
[13:09.25]  de
[13:09.39]  cemento
[13:09.93]  poroso,
[13:10.60]  una
[13:10.81]  pared
[13:11.01]  que
[13:11.18]  chupa
[13:11.60]  humedad.
[13:12.00]  Las
[13:12.18]  macetas
[13:12.59]  de
[13:12.72]  barro
[13:13.02]  tienen
[13:13.38]  un
[13:13.50]  problema
[13:14.02]  en
[13:14.12]  las
[13:14.30]  zonas
[13:14.62]  frías.
[13:15.20]  Chupan
[13:15.66]  agua
[13:15.97]  y
[13:16.06]  cuando
[13:16.54]  esa
[13:16.77]  agua
[13:17.09]  se
[13:17.25]  congela
[13:17.88]  adentro,
[13:18.40]  se
[13:18.59]  expande
[13:19.25]  y
[13:19.40]  raja
[13:19.75]  la
[13:19.90]  maceta.
[13:20.80]  Se
[13:20.97]  parten
[13:21.37]  solas
[13:21.80]  con
[13:21.95]  la
[13:22.15]  helada.
[13:22.80]  Impermeabilizas
[13:23.71]  la
[13:23.83]  maceta
[13:24.19]  por
[13:24.37]  afuera
[13:24.82]  y
[13:24.87]  el
[13:25.02]  agua
[13:25.46]  no
[13:25.71]  entra,
[13:26.00]  no
[13:26.17]  se
[13:26.32]  congela
[13:26.90]  adentro
[13:27.47]  y
