[00:00.08]  Levantá
[06:42.48]  es
[06:42.67]  la
[06:42.80]  base.
[06:43.40]  Dos,
[06:43.93]  el
[06:44.14]  corazón
[06:45.00]  del
[06:45.56]  escudo,
[06:46.18]  el
[06:46.38]  cemento
[06:47.33]  blanco.
[06:48.16]  Y
[06:48.24]  préstame
[06:49.05]  muchísima
[06:49.77]  atención
[06:50.51]  acá,
[06:50.99]  blanco,
[06:51.63]  no
[06:51.78]  gris,
[06:52.27]  no
[06:52.42]  yeso,
[06:52.91]  no
[06:53.21]  enduido,
[06:53.79]  cemento
[06:54.40]  blanco
[06:55.08]  puro,
[06:55.43]  del
[06:55.63]  arquitectónico.
[06:56.92]  Es
[06:57.04]  mucho
[06:57.35]  más
[06:57.56]  fino
[06:57.81]  que
[06:57.97]  el
[06:58.09]  gris,
[06:58.43]  se
[06:58.55]  mete
[06:58.77]  en
[06:59.08]  grietas
[06:59.31]  donde
[06:59.64]  el
[06:59.72]  gris
[06:59.95]  ni
[07:00.07]  entra.
[07:00.64]  Vas
[07:00.82]  a
[07:00.88]  echar
[07:01.18]  unas
[07:01.53]  diez
[07:01.68]  tazas,
[07:02.10]  más
[07:02.35]  o
[07:02.41]  menos
[07:02.81]  media
[07:03.03]  bolsa
[07:03.36]  de
[07:03.45]  tres
[07:03.70]  kilos,
[07:04.31]  que
[07:04.56]  sale
[07:04.57]  monedas.
[07:05.10]  Y
[07:05.18]  ojo
[07:05.35]  como
[07:05.62]  lo
[07:05.74]  echas,
[07:06.21]  de
[07:06.34]  a
[07:06.40]  poco,
[07:06.77]  como
[07:07.26]  una
[07:07.27]  llovizna
[07:07.81]  fina
[07:08.07]  sobre
[07:08.39]  el
[07:08.49]  agua,
[07:09.03]  mientras
[07:09.48]  con
[07:09.88]  la
[07:10.15]  otra
[07:10.20]  mano
[07:10.48]  bates
[07:10.84]  sin
[07:11.06]  parar
[07:11.42]  con
[07:11.64]  un
[07:11.78]  palo
[07:12.07]  grueso.
[07:12.76]  Vuelta
[07:13.12]  y
[07:13.19]  vuelta,
[07:13.67]  aplastando
[07:14.28]  cada
[07:14.65]  grumo
[07:14.93]  del
[07:15.01]  fondo,
[07:15.44]  hasta
[07:15.74]  que
[07:15.93]  te
[07:16.05]  quede
[07:16.60]  como
[07:16.69]  una
[07:16.78]  leche
[07:17.24]  muy
[07:17.40]  espesa,
[07:18.12]  una
[07:18.40]  lechada
[07:19.03]  pareja.
[07:20.00]  Pero
[07:20.20]  ahí,
[07:20.62]  no
[07:20.81]  pares,
[07:21.25]  porque
[07:21.81]  si
[07:22.02]  subís
[07:22.23]  esta
[07:22.51]  lechada
[07:23.03]  de
[07:23.14]  cemento
[07:23.85]  sola
[07:23.91]  a
[07:23.98]  la
[07:24.11]  azotea,
[07:24.97]  mañana
[07:25.26]  tenés
[07:25.62]  un
[07:25.74]  mapa
[07:25.99]  de
[07:26.15]  rajaduras
[07:26.66]  blancas
[07:27.08]  que
[07:27.39]  no
[07:27.43]  sirve
[07:27.69]  para
[07:27.94]  nada.
[07:28.48]  El
[07:28.61]  cemento
[07:29.08]  blanco
[07:29.48]  solo
[07:29.75]  se
[07:29.88]  hace
[07:30.15]  piedra
[07:30.65]  dura,
[07:30.95]  y
[07:31.01]  tu
[07:31.14]  losa
[07:31.40]  se
[07:31.52]  dilata
[07:31.91]  y
[07:32.12]  se
[07:32.12]  encoge
[07:32.51]  con
[07:32.71]  el
[07:32.91]  calor,
[07:33.60]  así
[07:33.84]  que
[07:34.03]  esa
[07:34.20]  piedra
[07:34.56]  se
[07:34.68]  parte.
[07:35.20]  Necesitamos
[07:35.96]  que
[07:36.18]  sea
[07:36.40]  piedra
[07:36.81]  elástica.
[07:37.72]  Y
[07:37.80]  acá
[07:37.98]  entra
[07:38.25]  el
[07:38.35]  milagro.
[07:38.92]  Tres,
[07:39.46]  la
[07:39.64]  resina
[07:40.18]  acrílica
[07:41.09]  transparente.
[07:42.44]  Andá
[07:42.76]  a
[07:42.87]  la
[07:42.95]  pinturería
[07:43.66]  y
[07:43.72]  pedí
[07:44.04]  la
[07:44.14]  resina
[07:44.61]  acrílica
[07:45.15]  transparente
[07:45.89]  para
[07:46.36]  muros,
[07:46.56]  base
[07:46.88]  agua,
[07:47.46]  la
[07:47.49]  más
[07:47.60]  barata
[07:48.07]  que
[07:48.31]  tengan.
[07:49.12]  Es
[07:49.16]  el
[07:49.28]  sellador
[07:49.76]  que
[07:49.94]  usan
[07:50.18]  los
[07:50.36]  pintores
[07:51.14]  antes
[07:51.21]  de
[07:51.26]  fondear
[07:51.68]  una
[07:51.86]  pared.
[07:52.36]  Le
[07:52.49]  vas
[07:52.69]  a
[07:52.79]  echar
[07:53.08]  un
[07:53.25]  litro
[07:53.54]  completo
[07:54.07]  al
[07:54.21]  balde.
[07:54.80]  Y
[07:54.88]  cuando
[07:55.23]  empieces
[07:55.70]  a
[07:55.76]  revolver
[07:56.24]  de
[07:56.36]  nuevo,
[07:56.90]  lo
[07:56.97]  vas
[07:57.08]  a
[07:57.14]  sentir
[07:57.52]  en
[07:57.62]  el
[07:57.74]  brazo.
[07:58.26]  El
[07:58.40]  líquido
[07:58.96]  se
[07:59.15]  pone
[07:59.38]  denso,
[07:59.87]  pesado,
[08:00.43]  chicloso.
[08:01.24]  Eso
[08:01.43]  es
[08:01.55]  la
[08:01.67]  resina
[08:02.13]  atrapando
[08:02.59]  cada
[08:02.84]  granito
[08:03.39]  de
[08:03.41]  cemento
[08:03.82]  dentro
[08:04.21]  de
[08:04.35]  una
[08:04.50]  cápsula
[08:05.11]  de
[08:05.17]  plástico
[08:05.80]  irrompable.
[08:06.80]  Acabas
[08:07.23]  de
[08:07.32]  convertir
[08:07.91]  la
[08:08.04]  piedra
[08:08.43]  dura
[08:08.73]  en
[08:08.95]  un
[08:08.97]  blindaje
[08:09.46]  flexible,
[08:10.11]  que
[08:10.43]  se
[08:10.62]  estira
[08:10.81]  y
[08:10.87]  se
[08:10.99]  encoge
[08:11.48]  con
[08:11.76]  la
[08:11.76]  losa
[08:12.19]  sin
[08:12.43]  rajarse.
[08:13.44]  Y
[08:13.53]  cuatro,
[08:14.08]  el
[08:14.33]  toque
[08:14.59]  final,
[08:15.10]  el
[08:15.60]  secreto
[08:15.75]  de
[08:15.89]  los
[08:16.11]  viejos
[08:16.55]  albañiles.
[08:17.68]  Andá
[08:17.93]  a
[08:18.03]  la
[08:18.12]  cocina
[08:18.52]  y
[08:18.58]  trae
[08:18.84]  el
[08:18.97]  detergente
[08:19.76]  de
[08:19.77]  lavar
[08:20.09]  los
[08:20.31]  platos.
[08:21.00]  Dos
[08:21.16]  cucharadas
[08:21.69]  soperas
[08:22.06]  bien
[08:22.28]  llenas
[08:22.60]  al
[08:22.70]  balde.
[08:23.20]  Solo
[08:23.63]  dos.
[08:24.28]  Ese
[08:24.44]  jaboncito
[08:24.92]  no
[08:25.04]  es
[08:25.17]  para
[08:25.37]  limpiar.
[08:25.96]  Rompe
[08:26.28]  la
[08:26.41]  tensión
[08:26.93]  superficial
[08:27.63]  del
[08:28.10]  agua.
[08:28.32]  Hace
[08:28.52]  que
[08:28.67]  la
[08:28.77]  mezcla
[08:29.07]  se
[08:29.21]  vuelva
[08:29.47]  resbalosa
[08:29.92]  y
[08:29.97]  se
[08:30.22]  cuele
[08:30.47]  por
[08:30.49]  los
[08:30.62]  agujeritos
[08:31.12]  más
[08:31.32]  chiquitos
[08:31.75]  del
[08:31.92]  concreto,
[08:32.52]  penetrando
[08:33.12]  centímetros
[08:34.08]  hacia
[08:34.14]  abajo
[08:34.44]  en
[08:34.56]  vez
[08:34.74]  de
[08:34.86]  quedarse
[08:35.31]  arriba.
[08:35.92]  Revolve
[08:36.37]  suave,
[08:36.82]  sin
[08:37.01]  hacer
[08:37.34]  espuma,
[08:38.08]  hasta
[08:38.18]  que
[08:38.37]  la
[08:38.50]  mezcla
[08:38.89]  agarre
[08:39.27]  un
[08:39.73]  brillo
[08:39.85]  satinado.
[08:40.64]  Y
[08:40.75]  listo.
[08:41.64]  Acabas
[08:42.07]  de
[08:42.18]  fabricar
[08:42.72]  el
[08:42.86]  escudo
[08:43.27]  de
[08:43.76]  cristal.
[08:44.24]  4
[08:44.36]  botellas
[08:44.89]  de
[08:45.05]  agua,
[08:45.42]  10
[08:45.83]  tazas
[08:46.28]  de
[08:46.33]  cemento
[08:46.75]  blanco,
[08:47.29]  1
[08:47.48]  litro
[08:47.81]  de
[08:48.09]  resina,
[08:48.64]  2
[08:48.79]  cucharadas
[08:49.31]  de
[08:49.41]  detergente.
[08:50.36]  Menos
[08:50.66]  de
[08:50.79]  2
[08:50.96]  dólares
[08:51.45]  para
[08:51.69]  blindar
[08:52.23]  un
[08:52.23]  techo
[08:52.53]  entero.
[08:53.12]  Y
[08:53.20]  si
[08:53.28]  no
[08:53.39]  quieres
[08:53.79]  andar
[08:54.08]  anotando
[08:54.53]  al
[08:54.64]  vuelo,
[08:55.28]  tranquilo.
[08:55.80]  La
[08:55.92]  tabla
[08:56.23]  con
[08:56.42]  las
[08:56.69]  cantidades
[08:57.24]  exactas
[08:57.86]  por
[08:57.97]  metro
[08:58.17]  cuadrado,
[08:58.79]  para
[08:59.04]  que
[08:59.22]  no
[08:59.47]  te
[08:59.73]  sobre
[08:59.78]  ni
[08:59.90]  te
[08:59.94]  falte
[09:00.44]  un
[09:00.60]  gramo,
[09:01.14]  está
[09:01.53]  en
[09:01.69]  el
[09:01.85]  manual,
[09:02.61]  abajo.
[09:03.16]  La
[09:03.28]  imprimis,
[09:03.88]  la
[09:04.05]  pegas
[09:04.30]  en
[09:04.42]  la
[09:04.54]  pared
[09:04.83]  y
[09:04.90]  la
[09:05.26]  seguís
[09:05.44]  con
[09:05.62]  el
[09:05.74]  dedo
[09:05.98]  mientras
[09:06.46]  trabajas.
[09:07.20]  Sigamos.
[09:08.28]  Ahora
[09:08.63]  la
[09:08.77]  aplicación,
[09:09.83]  que
[09:10.37]  tiene
[09:10.48]  su
[09:10.64]  técnica,
[09:11.46]  y
[09:11.55]  si
[09:11.86]  la
[09:12.02]  haces
[09:12.26]  mal,
[09:12.65]  tiras
[09:13.25]  todo
[09:13.39]  el
[09:13.55]  laburo.
[09:14.40]  Presta
[09:14.70]  atención
[09:15.16]  al
[09:15.29]  horario,
[09:15.71]  porque
[09:16.01]  es
[09:16.10]  lo
[09:16.41]  más
[09:16.57]  importante.
[09:17.12]  Se
[09:17.28]  aplica
[09:17.76]  temprano,
[09:18.56]  6,
[09:19.20]  6
[09:19.28]  y
[09:19.29]  media
[09:19.70]  de
[09:19.84]  la
[09:20.00]  mañana,
[09:20.96]  con
[09:21.05]  el
[09:21.12]  fresco,
[09:21.76]  con
[09:22.16]  la
[09:22.17]  losa
[09:22.48]  todavía
[09:23.11]  fría,
[09:23.72]  por
[09:23.91]  nada
[09:24.16]  del
[09:24.35]  mundo
[09:24.66]  después
[09:25.16]  de
[09:25.28]  las
[09:25.85]  10.
[09:26.08]  Si
[09:26.19]  el
[09:26.30]  sol
[09:26.51]  ya
[09:26.58]  calentó
[09:27.03]  el
[09:27.14]  cemento,
[09:27.65]  cuando
[09:27.99]  toques
[09:28.34]  la
[09:28.45]  losa
[09:28.67]  con
[09:28.84]  la
[09:28.95]  mezcla,
[09:29.40]  el
[09:29.50]  agua
[09:29.74]  se
[09:29.96]  evapora
[09:30.44]  de
[09:30.57]  golpe,
[09:31.02]  la
[09:31.15]  resina
[09:31.53]  se
[09:31.66]  achicharra
[09:32.60]  antes
[09:32.62]  de
[09:32.75]  secar,
[09:33.20]  y
[09:33.26]  toda
[09:33.55]  tu
[09:33.65]  friega
[09:34.04]  se
[09:34.37]  vuelve
[09:34.55]  un
[09:34.69]  polvo
[09:35.12]  blanco
[09:35.59]  inservible.
[09:36.72]  Losa
[09:37.07]  fría,
[09:37.77]  siempre.
[09:38.84]  Y
[09:38.92]  acá
[09:39.15]  cambiamos
[09:39.71]  la
[09:39.83]  técnica
[09:40.33]  por
[09:40.51]  completo.
[09:41.24]  Olvídate
[09:41.88]  del
[09:42.13]  pincel
[09:42.53]  y
[09:42.60]  de
[09:42.74]  pintar
[09:43.40]  despacito.
[09:44.12]  Subí
[09:44.47]  el
[09:44.61]  balde
[09:45.01]  y
[09:45.03]  tirá
[09:45.38]  un
[09:45.52]  charco
[09:46.28]  generoso,
[09:46.64]  de
[09:46.78]  más
[09:47.06]  de
[09:47.23]  medio
[09:47.54]  metro,
[09:48.12]  directo
[09:48.50]  sobre
[09:48.79]  la
[09:49.16]  losa
[09:49.24]  áspera.
[09:50.24]  Ahora
[09:50.58]  agarra
[09:50.97]  un
[09:51.13]  jalador
[09:51.57]  de
[09:51.70]  goma
[09:51.91]  dura,
[09:52.41]  de
[09:52.49]  esos
[09:52.76]  pesados
[09:53.22]  para
[09:53.50]  secar
[09:53.84]  el
[09:53.96]  piso.
[09:54.60]  Pone
[09:54.84]  la
[09:54.96]  goma
[09:55.20]  detrás
[09:55.62]  del
[09:55.80]  charco
[09:56.16]  y
[09:56.22]  empuja
[09:56.76]  con
[09:56.77]  toda
[09:57.00]  tu
[09:57.12]  fuerza
[09:57.48]  contra
[09:57.83]  el
[09:57.96]  piso.
[09:58.40]  Lo
[09:58.55]  que
[09:58.83]  estás
[09:59.29]  haciendo
[09:59.87]  es
[10:00.02]  inyectar
[10:00.63]  la
[10:00.78]  mezcla
[10:01.24]  a
[10:01.31]  presión
[10:02.08]  adentro
[10:02.46]  del
[10:02.69]  techo.
[10:03.52]  La
[10:03.59]  goma
[10:03.88]  obliga
[10:04.33]  al
[10:04.47]  escudo
[10:04.91]  a
[10:04.97]  rellenar
[10:05.61]  cada
[10:05.86]  poro
[10:06.16]  a
[10:06.22]  la
[10:06.37]  fuerza,
[10:07.18]  saca
[10:07.37]  el
[10:07.40]  aire
[10:07.70]  y
[10:07.79]  lo
[10:07.92]  mete
[10:08.49]  hasta
[10:08.70]  las
[10:08.93]  venas
[10:09.31]  del
[10:09.59]  concreto.
[10:10.40]  No
[10:10.52]  lo
[10:10.64]  estás
[10:11.00]  pintando,
[10:11.60]  lo
[10:11.72]  estás
[10:12.07]  metiendo
[10:12.57]  a
[10:12.62]  presión.
[10:13.36]  Esa
[10:13.67]  es
[10:13.88]  toda
[10:14.30]  la
[10:14.51]  diferencia.
[10:15.92]  Detrás
[10:16.35]  de
[10:16.43]  la
[10:16.54]  pasada
[10:16.88]  del
[10:17.05]  jalador,
[10:17.56]  pasa
[10:17.78]  un
[10:18.07]  rodillo
[10:18.30]  de
[10:18.41]  felpa
[10:18.70]  gruesa
[10:19.03]  con
[10:19.20]  extensión,
[10:20.00]  sin
[10:20.00]  apretar,
[10:20.59]  sólo
[10:20.93]  para
[10:21.20]  borrar
[10:21.60]  las
[10:22.00]  marcas
[10:22.20]  de
[10:22.33]  la
[10:22.46]  goma
[10:22.72]  y
[10:22.78]  dejar
[10:23.13]  todo
[10:23.39]  parejo.
[10:24.16]  Avanza
[10:24.60]  por
[10:24.82]  tramos,
[10:25.42]  metro
[10:25.80]  a
[10:25.86]  metro.
[10:26.52]  Y
[10:26.60]  lo
[10:26.71]  que
[10:26.95]  vas
[10:27.09]  a
[10:27.15]  ver
[10:27.41]  es
[10:27.47]  hermoso.
[10:28.16]  El
[10:28.29]  concreto
[10:28.83]  sediento
[10:29.37]  se
[10:29.50]  chupa
[10:29.83]  la
[10:30.16]  resina
[10:30.36]  al
[10:30.49]  instante,
[10:31.16]  y
[10:31.22]  pasa
[10:31.49]  de
[10:31.60]  ese
[10:31.82]  gris
[10:32.09]  feo
[10:32.26]  a
[10:32.29]  un
[10:32.45]  blanco
[10:33.16]  puro
[10:33.51]  y
[10:33.55]  brillante
[10:34.40]  ante
[10:34.75]  tus
[10:35.25]  ojos.
[10:35.76]  Deja
[10:36.00]  secar
[10:36.30]  esa
[10:36.48]  primera
[10:36.91]  mano
[10:37.15]  cuatro
[10:37.43]  horas.
[10:38.04]  Es
[10:38.15]  el
[10:38.26]  anclaje
[10:38.65]  profundo,
[10:39.20]  el
[10:39.31]  ancla
[10:39.59]  del
[10:39.73]  escudo.
[10:40.32]  Y
[10:40.41]  a
[10:40.50]  la
[10:40.68]  tarde,
[10:41.32]  cuando
[10:41.87]  el
[10:42.02]  sol
[10:42.41]  baje
[10:42.68]  y
[10:42.77]  la
[10:42.95]  losa
[10:43.30]  se
[10:43.49]  enfríe
[10:44.25]  de
[10:44.30]  nuevo,
[10:45.37]  preparas
[10:45.67]  la
[10:45.85]  misma
[10:46.30]  receta
[10:47.00]  exacta
[10:47.55]  en
[10:47.73]  la
[10:47.91]  sombra,
[10:48.65]  y
[10:48.70]  das
[10:49.16]  la
[10:49.20]  segunda
[10:49.85]  mano.
[10:50.56]  Esta
[10:50.85]  es
[10:50.99]  la
[10:51.13]  armadura
[10:51.71]  final.
[10:52.32]  Para
[10:52.57]  esta
[10:52.82]  ya
[10:52.94]  no
[10:53.06]  necesitas
[10:53.62]  el
[10:53.74]  jalador.
[10:54.40]  Carga
[10:54.73]  el
[10:54.86]  rodillo
[10:55.32]  directo
[10:55.78]  del
[10:55.98]  balde,
[10:56.57]  sin
[10:56.64]  miedo,
[10:57.12]  y
[10:57.16]  pinta
[10:57.51]  toda
[10:57.75]  la
[10:58.00]  azotea
[10:58.33]  cruzando
[10:58.78]  el
[10:59.45]  sentido
[10:59.48]  de
[10:59.69]  la
[10:59.91]  mañana.
[11:01.04]  Esta
[11:01.20]  capa
[11:01.44]  se
[11:01.56]  fusiona
[11:01.98]  a
[11:02.04]  nivel
[11:02.34]  molecular
[11:03.07]  con
[11:03.13]  la
[11:03.19]  que
[11:03.37]  ya
[11:03.49]  está
[11:03.79]  agarrada
[11:04.27]  en
[11:04.38]  los
[11:04.56]  poros.
[11:05.14]  Y
[11:05.22]  te
[11:05.32]  queda
[11:05.62]  una
[11:05.80]  coraza
[11:06.16]  plástica,
[11:06.81]  brillante,
[11:07.48]  de
[11:07.60]  apenas
[11:07.96]  dos
[11:08.14]  milímetros,
[11:09.07]  que
[11:09.10]  aguanta
[11:09.52]  el
[11:09.76]  calor
[11:10.19]  y
[11:10.24]  no
[11:10.40]  deja
[11:10.71]  pasar
[11:11.12]  ni
[11:11.28]  una
[11:11.52]  gota.
[11:12.10]  Como
[11:12.36]  un
[11:12.53]  vidrio.
[11:13.10]  Y
[11:13.21]  acá
[11:13.65]  te
[11:13.86]  cuento
[11:14.53]  cómo
[11:15.27]  fue
[11:15.41]  la
[11:15.63]  prueba
[11:16.29]  de
[11:16.52]  fuego,
[11:17.23]  en
[11:17.50]  mi
[11:18.15]  propia
[11:18.38]  casa.
[11:19.20]  Me
[11:19.33]  llego
[11:19.65]  como
[11:19.91]  al
[11:20.09]  mes,
[11:20.36]  en
[11:20.49]  plena
[11:20.81]  temporada
[11:21.39]  de
[11:21.52]  lluvias.
[11:22.20]  Calla
[11:22.51]  una
[11:22.70]  tormenta
[11:23.21]  eléctrica
[11:23.83]  de
[11:23.96]  esas
[11:24.36]  bravas
[11:24.59]  toda
[11:24.84]  la
[11:24.98]  madrugada,
[11:25.64]  sin
[11:26.13]  parar.
[11:26.56]  Antes,
[11:26.91]  con
[11:27.09]  media
[11:27.40]  hora
[11:27.65]  de
[11:27.77]  lluvia,
[11:28.37]  yo
[11:28.41]  ya
[11:28.64]  andaba
[11:28.85]  corriendo
[11:29.41]  con
[11:29.59]  trapos
[11:30.02]  y
[11:30.20]  valdes
[11:30.41]  por
[11:30.56]  el
[11:30.61]  living.
[11:31.40]  Esa
[11:31.58]  noche,
[11:32.00]  me
[11:32.12]  quedé
[11:32.48]  en
[11:32.60]  el
[11:32.72]  sillón,
[11:33.56]  escuchando
[11:33.87]  el
[11:33.99]  agua
[11:34.23]  pegar
[11:34.54]  en
[11:34.65]  el
[11:34.77]  techo,
[11:35.33]  tranquilo.
[11:36.04]  Al
[11:36.19]  otro
[11:36.49]  día
[11:36.79]  subí
[11:37.16]  la
[11:37.31]  escalera
[11:37.90]  a
[11:38.21]  revisar,
[11:38.66]  y
[11:38.76]  lo
[11:38.88]  que
[11:39.10]  vi
[11:39.25]  me
[11:39.40]  dejó
[11:39.77]  mudo.
[11:40.40]  El
[11:40.51]  agua
[11:40.74]  no
[11:40.85]  se
[11:40.96]  estaba
[11:41.31]  metiendo
[11:41.77]  al
[11:41.88]  cemento
[11:42.51]  para
[11:42.57]  nada.
[11:43.00]  Toda
[11:43.24]  la
[11:43.36]  losa
[11:43.60]  estaba
[11:43.96]  tapizada
[11:44.46]  de
[11:44.58]  gotitas
[11:45.17]  perfectas,
[11:45.67]  redonditas,
[11:46.39]  como
[11:46.62]  si
[11:46.93]  las
[11:46.93]  hubieras
[11:47.42]  tirado
[11:48.05]  sobre
[11:48.24]  teflón
[11:48.87]  o
[11:48.96]  sobre
[11:49.41]  la
[11:49.59]  cera
[11:49.91]  de
[11:50.31]  un
[11:50.41]  auto.
[11:50.98]  El
[11:51.10]  agua
[11:51.34]  literalmente
[11:52.06]  rebotaba
[11:52.54]  y
[11:52.60]  se
[11:52.68]  iba
[11:53.08]  patinando
[11:53.44]  rápido
[11:53.86]  hacia
[11:54.16]  las
[11:54.34]  rejillas,
[11:54.94]  sin
[11:55.11]  encontrar
[11:55.69]  un
[11:55.92]  solo
[11:56.12]  agujerito
[11:56.75]  para
[11:57.04]  colarse.
[11:57.76]  El
[11:57.90]  escudo
[11:58.32]  de
[11:58.46]  cristal
[11:58.96]  había
[11:59.37]  plastificado
[12:00.21]  la
[12:00.35]  losa
[12:00.63]  entera.
[12:01.32]  Esa
[12:01.48]  es
[12:01.59]  la
[12:01.75]  fórmula.
[12:02.32]  Fácil,
[12:03.04]  barata
[12:03.58]  y
[12:03.67]  para
[12:04.01]  siempre.
[12:04.96]  Cuatro
[12:05.39]  botellas
[12:05.94]  de
[12:06.08]  agua,
[12:06.49]  diez
[12:06.85]  tazas
[12:07.13]  de
[12:07.27]  cemento
[12:07.76]  blanco,
[12:08.32]  un
[12:08.67]  litro
[12:08.89]  de
[12:08.95]  resina
[12:09.38]  acrílica,
[12:10.14]  dos
[12:10.40]  cucharadas
[12:11.16]  de
[12:11.32]  detergente.
[12:12.36]  Y
[12:12.44]  ahora
[12:12.79]  que
[12:12.91]  sabes
[12:13.25]  hacerlo,
[12:13.77]  presta
[12:14.53]  atención,
[12:14.80]  porque
[12:15.17]  este
[12:15.41]  mismo
[12:15.72]  escudo
[12:16.20]  no
[12:16.29]  sirve
[12:16.48]  solo
[12:16.74]  para
[12:17.08]  la
[12:17.20]  azotea,
[12:17.69]  sirve
[12:18.00]  para
[12:18.25]  cualquier
[12:18.82]  superficie
[12:19.45]  porosa
[12:19.83]  que
[12:20.02]  tengas
[12:20.39]  que
[12:20.83]  proteger
[12:21.08]  del
[12:21.21]  agua,
[12:22.04]  y
[12:22.04]  eso
[12:22.22]  te
[12:22.34]  abre
[12:22.58]  la
[12:22.69]  cabeza.
[12:23.36]  Otra
[12:23.60]  pared
[12:24.01]  de
[12:24.17]  ladrillo
[12:24.83]  o
[12:24.91]  de
[12:25.40]  reboque
[12:25.65]  que
[12:25.90]  da
[12:26.06]  al
[12:26.21]  exterior
[12:26.88]  y
[12:27.13]  chupa
[12:27.37]  la
[12:27.53]  lluvia,
[12:28.33]  la
[12:28.34]  misma
[12:28.76]  mezcla
[12:29.44]  y
[12:29.53]  deja
[12:29.88]  de
[12:30.05]  humedecerse.
[12:31.32]  Las
[12:31.53]  paredes
[12:32.02]  de
[12:32.21]  un
[12:32.30]  sótano
[12:32.79]  o
[12:32.85]  de
[12:32.99]  un
[12:33.14]  tanque
[12:33.56]  enterrado
[12:34.19]  que
[12:34.43]  sudan,
[12:35.05]  séllalas
[12:35.51]  por
[12:35.74]  dentro
[12:36.36]  con
[12:36.38]  esto.
[12:36.92]  Un
[12:37.07]  tanque
[12:37.51]  de
[12:37.66]  agua
[12:37.95]  o
[12:38.02]  una
[12:38.24]  cisterna
[12:38.85]  de
[12:39.09]  material.
[12:39.84]  El
[12:39.97]  mismo
[12:40.31]  escudo
[12:40.71]  de
[12:40.84]  cemento
[12:41.30]  las
[12:41.50]  impermeabiliza
[12:42.44]  por
[12:42.64]  dentro.
[12:43.32]  La
[12:43.45]  base
[12:43.75]  de
[12:43.84]  una
[12:44.03]  columna,
[12:44.59]  un
[12:44.72]  contrapiso,
[12:45.49]  una
[12:45.67]  jardinera
[12:46.24]  de
[12:46.36]  material
[12:47.07]  que
[12:47.20]  se
[12:47.25]  te
[12:47.33]  desmorona
[12:48.00]  con
[12:48.26]  el
[12:48.33]  riego,
[12:48.85]  el
[12:49.07]  piso
[12:49.29]  de
[12:49.44]  una
[12:49.66]  terraza,
[12:50.35]  los
[12:50.56]  escalones
[12:51.24]  que
[12:51.46]  se
[12:51.60]  descascaran,
[12:52.58]  todo
[12:52.88]  lo
[12:53.23]  que
[12:53.26]  sea
[12:53.47]  concreto,
[12:54.32]  ladrillo
[12:54.93]  o
[12:55.00]  reboque,
[12:55.69]  y
[12:55.76]  este
[12:55.99]  peleando
[12:56.69]  contra
[12:57.15]  el
[12:57.30]  agua,
[12:57.75]  es
[12:58.25]  candidato.
[12:58.92]  Aprendiste
[12:59.56]  una
[12:59.81]  receta,
[13:00.30]  pero
[13:00.56]  te
[13:00.69]  llevaste
[13:01.21]  una
[13:01.41]  herramienta
[13:02.14]  para
[13:02.66]  toda
[13:02.79]  la
[13:02.85]  casa.
[13:03.36]  Y
[13:03.44]  hagamos
[13:03.84]  la
[13:03.96]  cuenta,
[13:04.45]  la
[13:04.57]  de
[13:04.69]  la
[13:04.81]  plata,
[13:05.23]  que
[13:05.52]  es
[13:05.53]  la
[13:05.65]  que
[13:05.83]  te
[13:05.95]  termina
[13:06.37]  de
[13:06.49]  convencer.
[13:07.32]  Un
[13:07.43]  balde
[13:07.75]  bueno
[13:08.00]  de
[13:08.21]  impermeabilizante
[13:09.19]  acrílico
[13:09.58]  de
[13:09.69]  marca
[13:09.98]  te
[13:10.10]  sale,
[13:10.43]  pongámosle,
[13:11.25]  el
[13:11.27]  equivalente
[13:12.16]  a
[13:12.24]  treinta
[13:12.65]  a
[13:12.71]  cuarenta
[13:13.20]  dólares,
[13:13.82]  y
[13:13.87]  te
[13:13.99]  rinde
[13:14.33]  unos
[13:14.56]  metros,
[13:15.05]  y
[13:15.13]  en
[13:15.27]  dos
[13:15.40]  años
[13:15.84]  lo
[13:16.09]  repetís.
[13:16.69]  Nuestra
[13:17.07]  tanda,
[13:17.53]  cuatro
[13:17.76]  botellas
[13:18.21]  de
[13:18.31]  agua,
[13:18.81]  media
[13:18.95]  bolsita
[13:19.36]  de
[13:19.45]  cemento
[13:19.84]  blanco,
[13:20.29]  un
[13:20.57]  litro
[13:20.68]  de
[13:20.76]  resina
[13:21.28]  y
[13:21.36]  un
[13:21.47]  chorrito
[13:21.99]  de
[13:22.17]  detergente,
[13:22.90]  te
[13:22.98]  sale
[13:23.45]  menos
[13:23.62]  de
[13:23.75]  dos
[13:23.95]  dólares,
[13:24.61]  cubre
[13:24.94]  de
[13:25.21]  diez
[13:25.33]  a
[13:25.38]  quince
[13:26.32]  metros,
[13:26.32]  y
[13:26.40]  dura
[13:26.75]  cinco
[13:27.18]  o
[13:27.21]  diez
[13:27.49]  años.
[13:28.16]  No
[13:28.28]  estamos
[13:28.70]  hablando
[13:29.18]  de
[13:29.30]  ahorrar
[13:29.72]  un
[13:29.83]  poquito,
[13:30.38]  estamos
[13:30.80]  hablando
[13:31.30]  de
[13:31.40]  gastar
[13:31.76]  una
[13:32.06]  veintava
[13:32.29]  parte,
[13:32.80]  y
[13:32.88]  que
[13:33.08]  dure
[13:33.36]  cinco
[13:33.71]  veces
