[00:00.08] En
[05:49.89]  por
[05:50.10]  el
[05:50.24]  cement
[05:50.74] o
[05:50.96] .
[05:51.04]  La
[05:51.16]  fra
[05:51.35] z
[05:51.40] ada
[05:51.63]  frente
[05:51.95]  a
[05:52.01]  la
[05:52.13]  vent
[05:52.37] ana
[05:52.55]  cre
[05:52.73] ó
[05:52.85]  una
[05:53.04]  cámara
[05:53.46]  de
[05:53.58]  aire
[05:53.82]  mu
[05:53.94] erta
[05:54.18]  entre
[05:54.49]  el
[05:54.61]  vid
[05:54.79] rio
[05:55.03]  fr
[05:55.09] ío
[05:55.27]  y
[05:55.33]  el
[05:55.60]  interior
[05:56.53]  del
[05:57.50]  cuarto
[05:57.70] .
[05:57.86]  P
[05:57.96] rices
[05:58.41]  material
[05:59.50] es
[05:59.51] ,
[05:59.66]  cost
[05:59.99] o
[06:00.06]  total
[06:00.64] ,
[06:00.97]  prá
[06:01.03] cticamente
[06:01.80]  c
[06:01.88] ero
[06:02.13]  con
[06:02.41]  lo
[06:02.53]  que
[06:02.78]  había
[06:03.27]  en
[06:03.76]  casa
[06:04.08] .
[06:04.08]  Res
[06:04.29] ult
[06:04.50] ado
[06:04.67] ,
[06:05.06]  una
[06:05.13]  habit
[06:05.41] ación
[06:05.83]  notable
[06:06.32] mente
[06:06.67]  más
[06:06.95]  cá
[06:07.16] l
[06:07.22] ida
[06:07.46]  sin
[06:07.65]  cambiar
[06:08.14]  nada
[06:08.42]  en
[06:08.56]  la
[06:08.70]  c
[06:08.79] ale
[06:08.98] f
[06:09.05] acción
[06:09.80] .
[06:09.80]  Es
[06:09.94] a
[06:10.01]  noche
[06:10.37]  aprend
[06:10.80] í
[06:10.94]  lo
[06:11.08]  que
[06:11.29]  los
[06:11.50]  m
[06:11.57] ong
[06:11.78] oles
[06:12.07]  saben
[06:12.43]  desde
[06:12.79]  hace
[06:13.08]  dos
[06:13.28]  mil
[06:13.50]  años
[06:14.07] .
[06:14.16]  El
[06:14.30]  calor
[06:14.67]  que
[06:14.89]  ya
[06:15.03]  ten
[06:15.43] és
[06:15.47]  vale
[06:15.76]  más
[06:16.04]  que
[06:16.27]  el
[06:16.41]  calor
[06:16.78]  que
[06:17.00]  todavía
[06:17.59]  no
[06:17.73]  gener
[06:18.10] aste
[06:18.68] .
[06:18.68]  Ret
[06:18.91] ener
[06:19.19] lo
[06:19.33]  siempre
[06:19.84]  es
[06:19.98]  más
[06:20.27]  e
[06:20.34] ficiente
[06:20.93]  que
[06:21.15]  produ
[06:21.52] cir
[06:21.72]  más
[06:22.32] .
[06:22.32]  Ahora
[06:22.65]  dé
[06:22.85] j
[06:22.91] ame
[06:23.11]  explic
[06:23.51] arte
[06:23.88]  el
[06:23.90]  sistema
[06:24.37]  m
[06:24.43] ong
[06:24.63] ol
[06:24.76]  en
[06:24.89]  det
[06:25.09] alle
[06:25.35] ,
[06:25.48]  porque
[06:26.00]  lo
[06:26.01]  que
[06:26.21]  hizo
[06:26.47]  mi
[06:26.60]  t
[06:26.66] ío
[06:26.88]  esa
[06:27.16]  tarde
[06:27.54]  fue
[06:27.77] ,
[06:28.13]  sin
[06:28.19]  saber
[06:28.53] lo
[06:28.68] ,
[06:29.06]  una
[06:29.23]  versión
[06:29.71]  ur
[06:29.82] b
[06:29.89] ana
[06:30.11]  y
[06:30.18]  de
[06:30.33]  emergen
[06:30.91] cia
[06:31.08]  de
[06:31.23]  exactamente
[06:32.07]  los
[06:32.30]  mismos
[06:32.84]  princip
[06:33.29] ios
[06:33.48]  que
[06:33.67]  la
[06:33.86]  g
[06:33.88] ér
[06:34.05]  m
[06:34.11] ong
[06:34.30] ola
[06:34.49]  usa
[06:34.69]  de
[06:34.81]  manera
[06:35.20]  sistem
[06:35.59] ática
[06:35.98]  y
[06:36.04]  per
[06:36.23] fe
[06:36.36] cc
[06:36.53] ion
[06:36.68] ada
[06:36.87] .
[06:37.16]  La
[06:37.42]  g
[06:37.55] ér
[06:38.19]  es
[06:38.27]  una
[06:38.58]  estruct
[06:39.48] ura
[06:39.86]  circular
[06:41.22] .
[06:41.32]  No
[06:41.53]  es
[06:41.74]  circular
[06:42.59]  por
[06:42.91]  est
[06:43.23] ética
[06:44.08] .
[06:44.20]  Es
[06:44.33]  circular
[06:44.86]  porque
[06:45.24]  el
[06:45.38]  c
[06:45.43] ír
[06:45.67] culo
[06:45.88]  es
[06:46.01]  la
[06:46.14]  forma
[06:46.47]  ge
[06:46.60] om
[06:46.73] ét
[06:46.92] rica
[06:47.18]  que
[06:47.37]  tiene
[06:47.70]  la
[06:47.83]  menor
[06:48.16]  relación
[06:48.75]  entre
[06:49.16]  superfic
[06:49.95] ie
[06:50.09]  exterior
[06:50.84]  y
[06:50.93]  vol
[06:51.21] umen
[06:51.58]  interior
[06:52.64] .
[06:52.68]  D
[06:52.71] icho
[06:53.02]  de
[06:53.18]  otra
[06:53.48]  manera
[06:53.95] ,
[06:54.35]  para
[06:54.41]  un
[06:54.56]  vol
[06:54.79] umen
[06:55.09]  dado
[06:55.41]  de
[06:55.58]  aire
[06:55.86]  cal
[06:56.10] iente
[06:56.50]  ad
[06:56.64] ent
[06:56.87] ro
[06:57.02] ,
[06:57.40]  una
[06:57.63]  estruct
[06:58.01] ura
[06:58.32]  circular
[06:58.91]  tiene
[06:59.44]  menos
[06:59.65]  superfic
[07:00.24] ie
[07:00.43]  exterior
[07:00.97]  por
[07:01.19]  donde
[07:01.56]  ese
[07:01.78]  calor
[07:02.15]  puede
[07:02.52]  esca
[07:02.81] par
[07:03.03] se
[07:03.17]  que
[07:03.39]  cualquier
[07:04.12]  otra
[07:04.47]  forma
[07:05.12] .
[07:05.12]  Un
[07:05.28]  cuarto
[07:05.76]  rectangular
[07:06.68]  de
[07:06.82]  3
[07:07.06]  x
[07:07.22]  3
[07:07.38]  metros
[07:07.90]  tiene
[07:08.27]  12
[07:08.81]  metros
[07:09.25]  line
[07:09.57] ales
[07:09.88]  de
[07:10.04]  p
[07:10.45] ared
[07:10.64] .
[07:10.76]  Una
[07:10.98]  estruct
[07:11.43] ura
[07:11.63]  circular
[07:12.17]  con
[07:12.37]  el
[07:12.50]  mismo
[07:12.83]  vol
[07:13.03] umen
[07:13.30]  interior
[07:13.89]  tiene
[07:14.17]  aproximadamente
[07:15.27]  10
[07:15.58]  metros
[07:15.98]  line
[07:16.25] ales
[07:16.60]  de
[07:16.77]  perí
[07:17.20] metro
[07:17.88] .
[07:17.97]  Eso
[07:18.17]  es
[07:18.35]  el
[07:18.54]  17
[07:19.11] %
[07:19.21]  menos
[07:19.67]  de
[07:19.86]  superfic
[07:20.62] ie
[07:20.81]  de
[07:21.00]  p
[07:21.09] ér
[07:21.45] d
[07:21.46] ida
[07:21.74]  tér
[07:22.12] m
[07:22.21] ica
[07:22.86] .
[07:22.86]  En
[07:23.05]  un
[07:23.24]  cl
[07:23.43] ima
[07:23.72]  de
[07:23.91]  menos
[07:24.39]  30
[07:25.04]  grad
[07:25.36] os
[07:25.55] ,
[07:25.74]  ese
[07:26.03]  17
[07:26.61] %
[07:26.70]  es
[07:26.89]  enorme
[07:27.84] .
[07:27.84]  V
[07:27.91] os
[07:28.05]  no
[07:28.19]  vas
[07:28.40]  a
[07:28.47]  reconst
[07:28.97] ru
[07:29.11] ir
[07:29.27]  tu
[07:29.41]  casa
[07:29.67]  en
[07:29.81]  forma
[07:30.16]  circular
[07:30.72] ,
[07:31.15]  pero
[07:31.29]  pod
[07:31.36] es
[07:31.54]  aplic
[07:31.85] ar
[07:31.99]  el
[07:32.13]  principio
[07:32.88]  de
[07:33.00]  manera
[07:33.40]  diferente
[07:34.76] .
[07:34.76]  Red
[07:34.98] uc
[07:35.12] ir
[07:35.26]  el
[07:35.40]  vol
[07:35.62] umen
[07:35.93]  que
[07:36.13]  ten
[07:36.35] és
[07:36.61]  que
[07:36.78]  cal
[07:37.00] entar
[07:37.44] .
[07:37.44]  Una
[07:37.66]  habit
[07:38.04] ación
[07:38.49]  de
[07:38.63]  4
[07:38.86]  x
[07:38.96]  4
[07:39.16]  metros
[07:39.60]  con
[07:39.82]  te
[07:40.06] cho
[07:40.23]  de
[07:40.34]  3
[07:40.57]  metros
[07:41.02]  de
[07:41.20]  altura
[07:41.61]  tiene
[07:41.99]  48
[07:42.44]  metros
[07:42.89]  c
[07:43.07] ú
[07:43.11] b
[07:43.18] icos
[07:43.64]  de
[07:43.84]  aire
[07:44.24]  que
[07:44.54]  cal
[07:44.83] entar
[07:45.68] .
[07:45.75]  Si
[07:45.81]  dorm
[07:46.08] ís
[07:46.33]  con
[07:46.48]  una
[07:46.69]  car
[07:46.90] pa
[07:47.01]  de
[07:47.16]  camping
[07:47.61]  interior
[07:48.14] ,
[07:48.34]  o
[07:48.47]  si
[07:48.56]  ha
[07:48.60] ces
[07:48.80]  un
[07:48.93]  do
[07:49.07] cel
[07:49.26]  sobre
[07:49.60]  la
[07:49.73]  cama
[07:50.00]  con
[07:50.25]  tela
[07:50.60]  que
[07:50.83]  b
[07:50.91] aje
[07:51.14]  hasta
[07:51.56]  el
[07:51.68]  p
[07:51.77] iso
[07:51.91] ,
[07:52.34]  estás
[07:52.62]  cal
[07:52.84] ent
[07:53.07] ando
[07:53.38]  quiz
[07:53.84] ás
[07:53.92]  6
[07:54.15]  metros
[07:54.65]  c
[07:54.70] ú
[07:54.85] b
[07:54.94] icos
[07:55.23]  de
[07:55.38]  aire
[07:56.04] .
[07:56.08]  Tu
[07:56.23]  cuerpo
[07:56.61]  solo
[07:56.92]  gener
[07:57.20] a
[07:57.26]  suficiente
[07:57.92]  calor
[07:58.30]  para
[07:58.51]  mantener
[07:59.06]  6
[07:59.29]  metros
[07:59.64]  c
[07:59.70] ú
[07:59.83] b
[07:59.89] icos
[08:00.15]  signific
[08:00.72] ativ
[08:00.98] amente
[08:01.44]  más
[08:01.79]  cá
[08:01.96] l
[08:02.02] idos
[08:02.33]  que
[08:02.55]  el
[08:02.70]  resto
[08:03.07]  del
[08:03.29]  cuarto
[08:03.91] .
[08:04.00]  Para
[08:04.32]  cal
[08:04.56] entar
[08:05.01]  48
[08:05.44]  metros
[08:05.92]  c
[08:06.00] ú
[08:06.16] b
[08:06.23] icos
[08:06.72] ,
[08:06.90]  neces
[08:07.12] itas
[08:07.44]  una
[08:07.68]  fu
[08:07.84] ente
[08:08.16]  de
[08:08.32]  calor
[08:08.72]  ex
[08:08.88] ter
[08:09.12] na
[08:09.28]  poder
[08:09.68] osa
[08:10.20] .
[08:10.26]  Los
[08:10.42]  m
[08:10.49] ong
[08:10.71] oles
[08:11.01]  du
[08:11.16] erm
[08:11.38] en
[08:11.53]  dentro
[08:11.98]  del
[08:12.26]  a
[08:12.27] jer
[08:12.47] ,
[08:12.84]  que
[08:12.87]  ya
[08:13.01]  es
[08:13.16]  pequeña
[08:13.76] ,
[08:13.98]  y
[08:14.06]  además
[08:14.50]  us
[08:14.65] an
[08:14.80]  ro
[08:14.96] pa
[08:15.10]  de
[08:15.25]  dormir
[08:15.80]  que
[08:16.05]  cre
[08:16.26] a
[08:16.33]  una
[08:16.56]  segunda
[08:17.09]  cámara
[08:17.62]  de
[08:17.77]  aire
[08:18.07]  todavía
[08:18.68]  más
[08:19.15]  pequeña
[08:19.59]  alrededor
[08:20.26]  del
[08:20.90]  cuerpo
[08:20.95] .
[08:21.24]  Cap
[08:21.45] as
[08:21.59]  de
[08:21.73]  vol
[08:21.94] umen
[08:22.21]  redu
[08:22.49] cido
[08:23.00] .
[08:23.00]  Cada
[08:23.35]  cap
[08:23.59] a
[08:23.67]  más
[08:24.03]  pequeña
[08:24.77]  y
[08:24.78]  más
[08:25.11]  fácil
[08:25.62]  de
[08:25.81]  mantener
[08:26.47]  cal
[08:26.73] iente
[08:27.09]  que
[08:27.39]  la
[08:27.56]  anterior
[08:28.46] .
[08:28.60]  E
[08:28.68] se
[08:28.84]  es
[08:29.00]  el
[08:29.16]  primer
[08:29.66]  principio
[08:30.58] .
[08:30.64]  El
[08:30.83]  segundo
[08:31.52]  principio
[08:32.40]  m
[08:32.49] ong
[08:32.78] ol
[08:32.97]  es
[08:33.16]  el
[08:33.44]  f
[08:33.83] ielt
[08:33.83] ro
[08:34.35] .
[08:34.40]  La
[08:34.57] jer
[08:34.83]  no
[08:35.00]  está
[08:35.44]  he
[08:35.61] cha
[08:35.87]  de
[08:36.11]  cualquier
[08:36.84]  tela
[08:37.36] .
[08:37.53]  Está
[08:37.90]  he
[08:38.14] cha
[08:38.28]  de
[08:38.43]  f
[08:38.50] ielt
[08:38.81] ro
[08:38.96]  de
[08:39.11]  l
[08:39.17] ana
[08:39.42]  de
[08:39.55]  o
[08:39.78] ve
[08:39.93] ja
[08:39.97] ,
[08:40.08]  produ
[08:40.46] cido
[08:40.77]  local
[08:41.14] mente
[08:41.67]  de
[08:41.77]  un
[08:41.90]  es
[08:42.03] pes
[08:42.23] or
[08:42.35]  específic
[08:43.03] o
[08:43.11]  que
[08:43.32]  var
[08:43.50] ía
[08:43.68]  según
[08:44.10]  la
[08:44.24]  lat
[08:44.45] itud
[08:44.73]  y
[08:44.80]  la
[08:44.94]  sever
[08:45.29] idad
[08:45.57]  del
[08:45.78]  inv
[08:45.99] ierno
[08:46.55] .
[08:46.60]  El
[08:46.76]  f
[08:46.76] ielt
[08:46.99] ro
[08:47.12]  tiene
[08:47.39]  una
[08:47.58]  prop
[08:47.79] ied
[08:47.96] ad
[08:48.11]  que
[08:48.24]  ningún
[08:48.65]  material
[08:49.12]  sint
[08:49.35] ético
[08:49.70]  modern
[08:50.10] o
[08:50.30]  replica
[08:50.52]  de
[08:50.67]  manera
[08:51.12]  completa
[08:52.52] .
[08:52.52]  Es
[08:52.66]  perme
[08:53.02] able
[08:53.31]  al
[08:53.45]  vapor
[08:53.82]  de
[08:53.95]  agua
[08:54.24] ,
[08:54.53]  pero
[08:54.67]  imper
[08:55.03] me
[08:55.17] able
[08:55.45]  al
[08:55.60]  v
[08:55.66] iento
[08:56.36] .
[08:56.36]  Eso
[08:56.69]  es
[08:56.91]  crít
[08:57.78] ico
[08:58.12] .
[08:58.12]  Cuando
[08:58.60]  dorm
[08:58.90] ís
[08:59.31] ,
[08:59.33]  tu
[08:59.48]  cuerpo
[08:59.96]  liber
[09:00.36] a
[09:00.44]  vapor
[09:00.84]  de
[09:01.05]  agua
[09:01.32]  a
[09:01.40]  través
[09:01.96]  de
[09:02.13]  la
[09:02.28]  respir
[09:02.76] ación
[09:03.24]  y
[09:03.32]  la
[09:03.48]  transp
[09:03.96] ir
[09:04.12] ación
[09:04.86] .
[09:04.96]  Si
[09:05.10]  esa
[09:05.31]  hum
[09:05.52] ed
[09:05.66] ad
[09:05.80]  queda
[09:06.17]  at
[09:06.30] rap
[09:06.51] ada
[09:06.72]  ad
[09:06.86] ent
[09:07.21] ro
[09:07.29] ,
[09:07.35]  el
[09:07.49]  aire
[09:07.79]  se
[09:07.94]  sat
[09:08.13] ura
[09:08.31] ,
[09:08.62]  la
[09:08.83]  hum
[09:08.84] ed
[09:08.97] ad
[09:09.10]  se
[09:09.25]  cond
[09:09.55] ensa
[09:09.83]  en
[09:10.15]  las
[09:10.24]  superfic
[09:10.67] ies
[09:10.84]  fr
[09:11.01] ías
[09:11.42]  y
[09:11.59]  el
[09:11.76]  fr
[09:11.77] ío
[09:12.02]  h
[09:12.09] ú
[09:12.25] med
[09:12.49] o
[09:12.58]  es
[09:12.75]  mucho
[09:13.17]  más
[09:13.50]  ag
[09:13.67] res
[09:13.92] ivo
[09:14.17]  que
[09:14.42]  el
[09:14.59]  fr
[09:14.78] ío
[09:15.26]  sec
[09:15.26] o
[09:15.59] .
[09:15.68]  El
[09:15.82]  f
[09:15.89] ielt
[09:16.17] ro
[09:16.34]  deja
[09:16.59]  salir
[09:16.94]  ese
[09:17.22]  vapor
[09:17.50]  de
[09:17.64]  agua
[09:17.92]  hacia
[09:18.27]  af
[09:18.41] u
[09:18.69] era
[09:18.79] ,
[09:18.83]  manten
[09:19.25] iendo
[09:19.61]  el
[09:19.74]  interior
[09:20.27]  sec
[09:20.58] o
[09:20.71] .
[09:20.84]  Pero
[09:21.11]  no
[09:21.24]  deja
[09:21.51]  pasar
[09:21.85]  el
[09:21.98]  v
[09:22.03] iento
[09:22.50] ,
[09:22.51]  que
[09:22.71]  sería
[09:23.14]  la
[09:23.25]  fu
[09:23.38] ente
[09:23.75]  de
[09:23.78]  p
[09:23.84] ér
[09:24.04] d
[09:24.10] ida
[09:24.32]  de
[09:24.43]  calor
[09:24.97]  por
[09:25.12]  conve
[09:25.33] cción
[09:25.88]  más
[09:26.30]  devast
[09:26.94] adora
[09:27.50]  en
[09:27.67]  la
[09:27.89]  est
[09:28.21] ep
[09:28.42] a
[09:28.81] .
[09:28.88]  La
[09:29.02]  l
[09:29.09] ana
[09:29.29]  además
[09:29.77]  tiene
[09:30.14]  una
[09:30.31]  conduct
[09:30.79] ividad
[09:31.23]  tér
[09:31.47] m
[09:31.53] ica
[09:31.73]  extrem
[09:32.14] adamente
[09:32.69]  baja
[09:33.16] .
[09:33.28]  No
[09:33.47]  condu
[09:33.94] ce
[09:34.16]  el
[09:34.31]  calor
[09:34.78]  de
[09:34.99]  ad
[09:35.16] ent
[09:35.52] ro
[09:35.62]  hacia
[09:36.28]  af
[09:36.34] u
[09:36.37] era
[09:36.66] ,
[09:36.83]  lo
[09:37.30]  ret
[09:37.30] iene
[09:37.94] .
[09:38.02]  En
[09:38.16]  tu
[09:38.30]  casa
[09:38.58]  el
[09:38.75]  equival
[09:39.22] ente
[09:39.50]  al
[09:39.68]  f
[09:39.71] ielt
[09:39.99] ro
[09:40.13]  m
[09:40.20] ong
[09:40.46] ol
[09:40.55]  es
[09:40.69]  la
[09:40.83]  l
[09:40.90] ana
[09:41.11]  como
[09:41.39]  material
[09:41.96]  de
[09:42.10]  a
[09:42.18] isl
[09:42.38] ación
[09:42.95] ,
[09:43.05]  no
[09:43.20]  la
[09:43.44]  l
[09:43.56] ana
[09:43.91]  sint
[09:44.41] ética
[09:45.46] .
[09:45.52]  La
[09:45.71]  l
[09:45.80] ana
[09:46.09]  animal
[09:46.87] ,
[09:46.99]  las
[09:47.16]  fra
[09:47.45] z
[09:47.54] adas
[09:47.93]  de
[09:48.12]  l
[09:48.21] ana
[09:48.65] ,
[09:48.69]  los
[09:48.98]  tej
[09:49.27] idos
[09:49.66]  de
[09:49.83]  l
[09:50.23] ana
[09:50.42] ,
[09:50.42]  la
[09:50.61]  ro
[09:50.80] pa
[09:51.00]  de
[09:51.18]  l
[09:51.27] ana
[09:51.56]  interior
[09:52.61] ,
[09:52.68]  una
[09:52.92]  fra
[09:53.14] z
[09:53.19] ada
[09:53.43]  de
[09:53.55]  l
[09:53.62] ana
[09:53.84]  de
[09:53.98]  o
[09:54.04] ve
[09:54.19] ja
[09:54.32]  de
[09:54.47]  buena
[09:54.88]  calidad
[09:55.48] ,
[09:55.73]  tiene
[09:55.84]  un
[09:55.98]  poder
[09:56.34]  de
[09:56.50]  a
[09:56.55] isl
[09:56.77] ación
[09:57.21]  que
[09:57.67]  ninguna
[09:57.94]  fra
[09:58.23] z
[09:58.25] ada
[09:58.60]  sint
[09:59.00] ética
[09:59.57]  del
[09:59.86]  mismo
[10:00.35]  peso
[10:00.74]  igual
[10:01.23] a
[10:01.59] .
[10:01.64]  No
[10:01.83]  porque
[10:02.17]  la
[10:02.30]  l
[10:02.36] ana
[10:02.56]  sea
[10:02.76]  má
[10:02.96] g
[10:03.02] ica
[10:03.22] ,
[10:03.35]  porque
[10:03.83]  sus
[10:03.95]  fib
[10:04.17] ras
[10:04.38]  cre
[10:04.55] an
[10:04.68]  millones
[10:05.21]  de
[10:05.34]  peque
[10:05.67] ñas
[10:05.93]  cá
[10:06.13] mar
[10:06.33] as
[10:06.52]  de
[10:06.68]  aire
[10:07.00]  at
[10:07.16] rap
[10:07.39] ado
[10:07.77] ,
[10:07.77]  y
[10:08.01]  el
[10:08.09]  aire
[10:08.33]  at
[10:08.49] rap
[10:08.72] ado
[10:08.95]  es
[10:09.11]  el
[10:09.27]  mejor
[10:09.66]  a
[10:09.74] isl
[10:09.97] ante
[10:10.28]  tér
[10:10.60] m
[10:10.70] ico
[10:10.90]  que
[10:11.13]  existe
[10:11.89] .
[10:11.96]  El
[10:12.13]  aire
[10:12.48]  quiet
[10:13.00] o
[10:13.17] ,
[10:13.25]  inm
[10:13.43] ó
[10:13.60] vil
[10:13.83] ,
[10:14.20]  at
[10:14.46] rap
[10:14.46] ado
[10:14.80]  en
[10:14.89]  un
[10:15.06]  espacio
[10:15.68]  pequeño
[10:16.39] ,
[10:16.73]  no
[10:17.06]  condu
[10:17.17] ce
[10:17.34]  el
[10:17.51]  calor
[10:17.95]  de
[10:18.12]  manera
[10:18.65]  signific
[10:19.36] ativa
[10:20.28] .
[10:20.28]  Es
[10:20.45]  la
[10:20.62]  base
[10:20.95]  de
[10:21.12]  todo
[10:21.45]  el
[10:21.62]  ais
[10:21.89] lam
[10:22.12] iento
[10:22.54]  tér
[10:22.87] m
[10:22.95] ico
[10:23.20]  modern
[10:23.70] o
[10:23.78]  y
[10:23.85]  ant
[10:24.11] igu
[10:24.36] o
[10:24.71] .
[10:24.78]  El
[10:24.96]  pol
[10:25.25] iest
[10:25.58] ire
[10:25.84] no
[10:26.01]  expand
[10:26.59] ido
[10:26.84]  funciona
[10:27.52]  porque
[10:28.06]  at
[10:28.24] rap
[10:28.58] a
[10:28.94]  aire
[10:29.23] .
[10:29.28]  La
[10:29.45]  do
[10:29.68] ble
[10:29.88]  p
[10:29.96] ared
[10:30.31]  con
[10:30.57]  cámara
[10:31.36]  de
[10:31.58]  aire
[10:31.71]  funciona
[10:32.41]  porque
[10:32.97]  at
[10:33.14] rap
[10:33.37] a
[10:33.45]  aire
[10:34.10] .
[10:34.16]  La
[10:34.38]  l
[10:34.49] ana
[10:34.93]  funciona
[10:35.80]  porque
[10:36.43]  at
[10:36.62] rap
[10:36.93] a
[10:37.50]  aire
[10:37.81] .
[10:37.88]  El
[10:38.06]  m
[10:38.15] ong
[10:38.60] ol
[10:38.73]  lo
[10:38.78]  su
[10:38.97] po
[10:39.14]  antes
[10:39.59]  de
[10:39.82]  que
[10:40.06]  exist
[10:40.49] iera
[10:40.93]  la
[10:41.03]  qu
[10:41.21] ím
[10:41.48] ica
[10:41.75]  de
[10:41.96]  pol
[10:42.20] í
[10:42.38] mer
[10:42.83] os
[10:43.05] .
[10:43.12]  Si
[10:43.28]  lleg
[10:43.64] aste
[10:43.92]  hasta
[10:44.32]  acá
[10:44.72]  y
[10:44.74]  este
[10:45.04]  tipo
[10:45.36]  de
[10:45.58]  conoc
[10:45.92] imiento
[10:46.58]  te
[10:46.65]  camb
[10:46.97] ia
[10:47.13]  la
[10:47.29]  manera
[10:47.77]  de
[10:47.93]  ver
[10:48.17]  el
[10:48.33]  fr
[10:48.73] ío
[10:49.00] ,
[10:49.00]  quiero
[10:49.20]  pedir
[10:49.70] te
[10:49.89]  algo
[10:50.29]  conc
[10:50.69] reto
[10:51.40] .
[10:51.40]  Sus
[10:51.75] cri
[10:52.13] b
[10:52.14] ite
[10:52.46]  al
[10:52.67]  canal
[10:53.21]  ahora
[10:53.86]  y
[10:53.87]  deja
[10:54.11]  en
[10:54.23]  los
[10:54.42]  comentarios
[10:55.11]  cuál
[10:55.42]  es
[10:55.56]  el
[10:55.66]  punto
[10:55.97]  más
[10:56.22]  fr
[10:56.34] ío
[10:56.53]  de
[10:56.67]  tu
[10:56.77]  casa
[10:57.02]  en
[10:57.24]  inv
[10:57.47] ierno
[10:57.85] ,
[10:58.15]  el
[10:58.39]  lugar
[10:58.54]  donde
[10:58.93]  el
[10:59.08]  fr
[10:59.23] ío
[10:59.46]  es
[10:59.61]  más
[10:59.92]  difícil
[11:00.54]  de
[11:00.69]  resolver
[11:01.31]  con
[11:01.59]  lo
[11:01.69]  que
[11:01.92]  ten
[11:02.15] és
[11:02.38]  dispon
[11:02.83] ible
[11:03.48] .
[11:03.48]  El
[11:03.59]  próximo
[11:04.06]  video
[11:04.35]  constru
[11:04.76] ye
[11:04.87]  las
[11:05.04]  sol
[11:05.21] uciones
[11:05.62]  específic
[11:06.21] as
[11:06.32]  para
[11:06.55]  los
[11:06.72]  tres
[11:06.96]  problemas
[11:07.48]  más
[11:07.80]  comun
[11:08.34] es
[11:08.58]  que
[11:08.88]  apare
[11:09.24] z
[11:09.27] can
[11:09.50]  en
[11:09.69]  los
[11:09.88]  comentarios
[11:11.00] .
[11:11.00]  Tus
[11:11.29]  resp
[11:11.68] uestas
[11:12.28]  dec
[11:12.56] iden
[11:12.95]  el
[11:13.14]  contenido
[11:14.36] .
[11:14.36]  Leo
[11:15.11]  todo
[11:16.16] .
[11:16.24]  El
[11:16.39]  tercer
[11:16.86]  principio
[11:17.57]  m
[11:17.87] ong
[11:17.92] ol
[11:18.02]  es
[11:18.17]  la
[11:18.32]  masa
[11:18.63]  tér
[11:18.94] m
[11:19.01] ica
[11:19.23]  estratég
[11:20.18] ica
[11:20.52] .
[11:20.59]  En
[11:20.69]  el
[11:20.86]  centro
[11:21.39]  del
[11:21.65]  A
[11:21.99] jer
[11:22.01]  hay
[11:22.25]  una
[11:22.51]  est
[11:22.77] uf
[11:22.94] a
[11:23.02]  pequeña
[11:23.73] ,
[11:24.07]  no
[11:24.11]  grande
[11:24.60] ,
[11:25.19]  pequeña
[11:25.48] ,
[11:25.64]  pero
[11:26.17]  no
[11:26.21]  se
[11:26.34]  usa
[11:26.60]  de
[11:26.77]  manera
[11:27.48]  continua
[11:28.48] .
[11:28.48]  Se
[11:28.62]  usa
[11:28.86]  en
[11:28.98]  r
[11:29.04] á
[11:29.25] f
[11:29.26] ag
[11:29.40] as
[11:29.61]  cort
[11:29.94] as
[11:29.97]  e
[11:30.04]  intens
[11:30.53] as
[11:30.62]  para
[11:30.91]  cal
[11:31.13] entar
[11:31.49]  algo
[11:31.78]  específic
[11:32.53] o
[11:32.58] ,
[11:32.94]  las
[11:33.12]  pied
[11:33.23] ras
[11:33.45]  que
[11:33.80]  rode
[11:34.15] an
[11:34.32]  la
[11:34.56]  est
[11:34.76] uf
[11:34.96] a
[11:35.00]  y
[11:35.08]  la
[11:35.25]  estruct
[11:35.86] ura
[11:36.12]  met
[11:36.38] á
[11:36.55] lica
[11:36.88]  de
[11:37.23]  la
[11:37.66]  misma
[11:37.79] .
[11:38.00]  Es
[11:38.16] as
[11:38.30]  pied
[11:38.61] ras
[11:38.84]  y
[11:38.91]  ese
[11:39.17]  metal
[11:39.53]  absor
[11:39.92] ben
[11:40.15]  el
[11:40.32]  calor
[11:40.69]  durante
[11:41.27]  la
[11:41.38]  combust
[11:42.23] ión
[11:42.23]  y
[11:42.46]  después
[11:42.92] ,
[11:43.07]  cuando
[11:43.64]  el
[11:43.83]  fuego
[11:44.26]  se
[11:44.42]  ap
[11:44.85] aga
[11:44.99] ,
[11:45.02]  liber
[11:45.46] an
[11:45.62]  ese
[11:45.89]  calor
[11:46.33]  lent
[11:46.68] amente
[11:47.21]  durante
[11:47.82]  horas
[11:48.58] .
[11:48.66]  No
[11:48.82]  es
[11:48.98]  casual
[11:49.46] idad
[11:49.81] ,
[11:50.11]  es
[11:50.13]  el
[11:50.29]  uso
[11:50.54]  deliber
[11:51.13] ado
[11:51.37]  de
[11:51.54]  la
[11:51.70]  masa
[11:52.07]  tér
[11:52.39] m
[11:52.44] ica
[11:52.69]  como
[11:53.02]  bater
[11:53.44] ía
[11:53.69]  de
[11:53.85]  calor
[11:54.54] .
[11:54.66]  Las
[11:54.87]  pied
[11:55.25] ras
[11:55.37]  tienen
[11:55.81]  una
